kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
食べます,たべます,tabemasu,eat,"[""eat"",""consume""]","[""食事する""]",verb_group_2,1,"[""food"",""daily_life""]"
飲みます,のみます,nomimasu,drink,"[""drink"",""take medicine""]","[""飲用する""]",verb_group_1,1,"[""food"",""daily_life""]"
吸います,すいます,suimasu,smoke,"[""smoke"",""inhale""]","[""喫煙する""]",verb_group_1,2,"[""smoking"",""daily_life""]"
見ます,みます,mimasu,see,"[""see"",""look"",""watch""]","[""見る""]",verb_group_2,1,"[""vision"",""daily_life""]"
聞きます,ききます,kikimasu,hear,"[""hear"",""listen"",""ask""]","[""聞く""]",verb_group_1,2,"[""hearing"",""communication""]"
読みます,よみます,yomimasu,read,"[""read""]","[""閲覧する""]",verb_group_1,1,"[""study"",""media""]"
書きます,かきます,kakimasu,write,"[""write"",""draw""]","[""記入する""]",verb_group_1,1,"[""study"",""action""]"
買います,かいます,kaimasu,buy,"[""buy"",""purchase""]","[""購入する""]",verb_group_1,1,"[""shopping"",""money""]"
撮ります,とります,torimasu,take a photograph,"[""take a photograph"",""take a picture""]","[""写真を撮る""]",verb_group_1,2,"[""camera"",""daily_life""]"
します,します,shimasu,do,"[""do"",""perform"",""play""]","[""やる""]",irregular_verb,1,"[""action"",""common""]"
会います,あいます,aimasu,meet,"[""meet"",""see someone""]","[""会う""]",verb_group_1,1,"[""people"",""social""]"
ご飯,ごはん,gohan,meal,"[""meal"",""cooked rice""]","[""食事""]",noun,1,"[""food""]"
朝ご飯,あさごはん,asagohan,breakfast,"[""breakfast"",""morning meal""]","[""朝食""]",noun,1,"[""food"",""time""]"
昼ご飯,ひるごはん,hirugohan,lunch,"[""lunch"",""midday meal""]","[""昼食""]",noun,1,"[""food"",""time""]"
晩ご飯,ばんごはん,bangohan,dinner,"[""dinner"",""evening meal""]","[""夕食""]",noun,1,"[""food"",""time""]"
パン,パン,pan,bread,"[""bread""]",[],noun,1,"[""food""]"
卵,たまご,tamago,egg,"[""egg""]",[],noun,1,"[""food""]"
肉,にく,niku,meat,"[""meat""]",[],noun,1,"[""food""]"
魚,さかな,sakana,fish,"[""fish""]",[],noun,1,"[""food"",""animals""]"
野菜,やさい,yasai,vegetable,"[""vegetable"",""vegetables""]",[],noun,1,"[""food""]"
果物,くだもの,kudamono,fruit,"[""fruit"",""fruits""]",[],noun,1,"[""food""]"
水,みず,mizu,water,"[""water""]",[],noun,1,"[""drink"",""daily_life""]"
お茶,おちゃ,ocha,tea,"[""tea"",""green tea""]","[""緑茶""]",noun,1,"[""drink""]"
紅茶,こうちゃ,koucha,black tea,"[""black tea""]",[],noun,1,"[""drink""]"
牛乳,ぎゅうにゅう,gyuunyuu,milk,"[""milk""]",[],noun,1,"[""drink""]"
ジュース,ジュース,juusu,juice,"[""juice"",""soft drink""]",[],noun,1,"[""drink""]"
ビール,ビール,biiru,beer,"[""beer""]",[],noun,1,"[""drink"",""alcohol""]"
お酒,おさけ,osake,alcohol,"[""alcohol"",""Japanese rice wine"",""sake""]","[""酒""]",noun,2,"[""drink"",""alcohol""]"
ビデオ,ビデオ,bideo,video,"[""video"",""video tape"",""video deck""]",[],noun,1,"[""media"",""technology""]"
映画,えいが,eiga,movie,"[""movie"",""film""]",[],noun,1,"[""media"",""entertainment""]"
CD,シーディー,shiidii,CD,"[""CD"",""compact disc""]",[],noun,1,"[""media"",""technology""]"
手紙,てがみ,tegami,letter,"[""letter""]",[],noun,1,"[""communication""]"
レポート,レポート,repooto,report,"[""report"",""paper""]",[],noun,1,"[""study"",""work""]"
写真,しゃしん,shashin,photograph,"[""photograph"",""photo"",""picture""]","[""フォト""]",noun,1,"[""camera"",""media""]"
店,みせ,mise,shop,"[""shop"",""store""]",[],noun,1,"[""shopping"",""place""]"
庭,にわ,niwa,garden,"[""garden"",""yard""]",[],noun,1,"[""nature"",""house""]"
宿題,しゅくだい,shukudai,homework,"[""homework""]",[],noun,1,"[""study"",""school""]"
テニス,テニス,tenisu,tennis,"[""tennis""]",[],noun,1,"[""sports""]"
サッカー,サッカー,sakkaa,soccer,"[""soccer"",""football""]",[],noun,1,"[""sports""]"
お花見,おはなみ,ohanami,cherry blossom viewing,"[""cherry blossom viewing"",""flower viewing""]","[""花見""]",noun,2,"[""culture"",""nature""]"
何,なに,nani,what,"[""what""]",[],interrogative,1,"[""question_words""]"
一緒に,いっしょに,issho_ni,together,"[""together"",""with""]",[],adverb,1,"[""social""]"
ちょっと,ちょっと,chotto,a little,"[""a little"",""a bit""]",[],adverb,1,"[""degree"",""conversation""]"
いつも,いつも,itsumo,always,"[""always"",""usually""]",[],adverb,1,"[""time""]"
時々,ときどき,tokidoki,sometimes,"[""sometimes"",""at times""]",[],adverb,1,"[""time""]"
それから,それから,sorekara,after that,"[""after that"",""and then""]",[],conjunction,1,"[""conversation"",""sequence""]"
ええ,ええ,ee,yes,"[""yes"",""yeah""]",[],expression,1,"[""response""]"
いいですね,いいですね,ii_desu_ne,that's good,"[""that's good"",""sounds nice""]",[],expression,1,"[""conversation"",""emotion""]"
わかりました,わかりました,wakarimashita,understood,"[""understood"",""I see"",""got it""]","[""了解しました""]",expression,1,"[""conversation"",""response""]"
何ですか,なんですか,nan_desu_ka,what is it,"[""what is it"",""what?""]",[],expression,1,"[""question_words"",""conversation""]"
じゃ、また,じゃ、また,ja_mata,see you later,"[""see you later"",""see you tomorrow""]",[],expression,1,"[""farewell"",""conversation""]"
メキシコ,メキシコ,mekishiko,Mexico,"[""Mexico""]",[],proper_noun,1,"[""country"",""place""]"
大阪城公園,おおさかじょうこうえん,oosakajou_kouen,Osaka Castle Park,"[""Osaka Castle Park""]",[],proper_noun,2,"[""place"",""park""]"
