kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
要ります,いります,irimasu,need,"[""need"", ""require""]","[""be necessary"", ""want""]",Verb (Godan),4,"[""JLPT N5"", ""necessity"", ""basic""]"
調べます,しらべます,shirabemasu,check,"[""check"", ""investigate"", ""look up""]","[""examine"", ""research"", ""search""]",Verb (Ichidan),5,"[""JLPT N5"", ""action"", ""research""]"
直します,なおします,naoshimasu,repair,"[""repair"", ""correct"", ""fix""]","[""mend"", ""adjust""]",Verb (Godan),5,"[""JLPT N5"", ""daily life"", ""action""]"
修理します,しゅうりします,shūri shimasu,repair,"[""repair"", ""fix""]","[""restore"", ""service""]",Verb (Suru),5,"[""JLPT N5"", ""action"", ""technical""]"
電話します,でんわします,denwa shimasu,phone,"[""phone"", ""call"", ""telephone""]","[""make a call""]",Verb (Suru),4,"[""JLPT N5"", ""communication""]"
僕,ぼく,boku,I (male informal),"[""I (informal, used by men)""]","[""me""]",Pronoun,4,"[""JLPT N5"", ""pronoun"", ""casual"", ""male""]"
君,きみ,kimi,you (male informal),"[""you (informal, used by men)""]","[""you"", ""buddy""]",Pronoun,5,"[""JLPT N5"", ""pronoun"", ""casual"", ""male""]"
～君,～くん,~kun,Mr. (informal),"[""Mr."", ""young man (informal)""]","[""~kun""]",Suffix,4,"[""JLPT N5"", ""title"", ""casual""]"
うん,うん,un,yes,"[""yes (informal)""]","[""yeah"", ""yup""]",Interjection,3,"[""JLPT N5"", ""casual"", ""spoken""]"
ううん,ううん,ūn,no,"[""no (informal)""]","[""nah"", ""nope""]",Interjection,3,"[""JLPT N5"", ""casual"", ""spoken""]"
サラリーマン,サラリーマン,sararīman,office worker,"[""salaried worker"", ""office worker""]","[""salaryman"", ""businessman""]",Noun,5,"[""JLPT N5"", ""occupation"", ""work""]"
言葉,ことば,kotoba,word,"[""word"", ""language""]","[""speech"", ""vocabulary"", ""term""]",Noun,4,"[""JLPT N5"", ""language""]"
物価,ぶっか,bukka,commodity prices,"[""commodity prices"", ""cost of living""]","[""prices""]",Noun,6,"[""JLPT N4"", ""economy"", ""money""]"
着物,きもの,kimono,kimono,"[""kimono"", ""traditional Japanese attire""]","[""traditional dress""]",Noun,4,"[""JLPT N5"", ""culture"", ""clothing""]"
ビザ,ビザ,biza,visa,"[""visa""]","[""travel visa"", ""entry permit""]",Noun,5,"[""JLPT N5"", ""travel"", ""document""]"
初め,はじめ,hajime,beginning,"[""the beginning"", ""start""]","[""outset"", ""first""]",Noun,5,"[""JLPT N5"", ""time""]"
終わり,おわり,owari,end,"[""the end"", ""conclusion""]","[""finish"", ""closing""]",Noun,5,"[""JLPT N5"", ""time""]"
こっち,こっち,kotchi,this way,"[""this way"", ""this side"", ""here""]","[""over here""]",Pronoun,5,"[""JLPT N5"", ""direction"", ""casual""]"
そっち,そっち,sotchi,that way,"[""that way"", ""that side"", ""there""]","[""over there (near)""]",Pronoun,5,"[""JLPT N5"", ""direction"", ""casual""]"
あっち,あっち,atchi,over there,"[""over there"", ""that way""]","[""yonder"", ""that side (far)""]",Pronoun,6,"[""JLPT N5"", ""direction"", ""casual""]"
どっち,どっち,dotchi,which,"[""which one"", ""which way""]","[""which of the two""]",Pronoun,6,"[""JLPT N5"", ""question"", ""casual""]"
この間,このあいだ,kono aida,the other day,"[""the other day"", ""recently""]","[""a few days ago"", ""lately""]",Adverb,6,"[""JLPT N4"", ""time"", ""expression""]"
みんなで,みんなで,minna de,all together,"[""all together"", ""everyone""]","[""as a group"", ""together""]",Phrase,5,"[""JLPT N5"", ""group"", ""social""]"
～けど,～けど,~kedo,but,"[""but"", ""though"", ""however""]","[""although""]",Conjunction,5,"[""JLPT N5"", ""casual"", ""grammar"", ""spoken""]"
国へ帰るの？,くにへかえるの？,Kuni e kaeru no?,Are you going back to your country?,"[""Are you going back to your country?""]","[""Returning home?""]",Phrase,6,"[""JLPT N4"", ""conversation"", ""travel""]"
どうするの？,どうするの？,Dō suru no?,What will you do?,"[""What will you do?"", ""What are you going to do?""]","[""What's your plan?""]",Phrase,5,"[""JLPT N5"", ""conversation"", ""question""]"
どうしようかな,どうしようかな,Dō shiyō kana,What shall I do?,"[""What shall I do?"", ""What should I do?""]","[""Hmm, what to do?""]",Phrase,6,"[""JLPT N4"", ""conversation"", ""hesitation""]"
よかったら,よかったら,Yokattara,if you like,"[""if you like"", ""if it's okay"", ""if you want""]","[""if you'd like""]",Phrase,6,"[""JLPT N4"", ""polite"", ""invitation""]"
いろいろ,いろいろ,iroiro,various,"[""various"", ""many kinds"", ""all sorts of""]","[""diverse"", ""various things""]",Adverb / Noun,5,"[""JLPT N5"", ""common"", ""quantity""]"
