kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
立ちます,たちます,tachimasu,stand up,"[""rise"",""get up""]","[""stand"",""rise""]",Verb (Group I),2,"[""lesson15"",""verb""]"
座ります,すわります,suwarimasu,sit down,"[""take a seat"",""sit""]","[""sit"",""be seated""]",Verb (Group I),2,"[""lesson15"",""verb""]"
使います,つかいます,tsukaimasu,use,"[""utilize"",""employ""]","[""use"",""apply""]",Verb (Group I),1,"[""lesson15"",""verb""]"
置きます,おきます,okimasu,put,"[""place"",""set down""]","[""place"",""leave""]",Verb (Group II),2,"[""lesson15"",""verb""]"
作ります,つくります,tsukurimasu,make,"[""produce"",""create""]","[""manufacture"",""build""]",Verb (Group I),2,"[""lesson15"",""verb""]"
売ります,うります,urimasu,sell,"[""trade"",""market""]","[""sell"",""deal""]",Verb (Group I),2,"[""lesson15"",""verb""]"
知ります,しります,shirimasu,get to know,"[""learn"",""become aware""]","[""discover"",""learn""]",Verb (Group I),2,"[""lesson15"",""verb""]"
住みます,すみます,sumimasu,be going to live,"[""reside"",""dwell""]","[""reside"",""stay""]",Verb (Group I),2,"[""lesson15"",""verb""]"
研究します,けんきゅうします,kenkyuu shimasu,do research,"[""study"",""research""]","[""investigate"",""research""]",Suru verb,3,"[""lesson15"",""verb""]"
知っています,しっています,shitteimasu,know,"[""be acquainted with"",""be aware""]","[""know"",""understand""]",Expression,2,"[""lesson15"",""expression""]"
[大阪に〜],[おおさかに〜],[oosaka ni ~],live in Osaka,"[""reside in Osaka"",""stay in Osaka""]","[""live"",""reside""]",Expression,2,"[""lesson15""]"
資料,しりょう,shiryou,materials,"[""data"",""documents""]","[""reference"",""materials""]",Noun,3,"[""lesson15""]"
カタログ,カタログ,katarogu,catalog,"[""brochure"",""product list""]","[""catalogue"",""pamphlet""]",Noun,1,"[""lesson15"",""katakana""]"
時刻表,じこくひょう,jikokuhyou,timetable,"[""schedule"",""train timetable""]","[""schedule"",""table""]",Noun,3,"[""lesson15""]"
服,ふく,fuku,clothes,"[""clothing"",""garments""]","[""clothes"",""wear""]",Noun,1,"[""lesson15"",""clothing""]"
製品,せいひん,seihin,products,"[""manufactured goods"",""items""]","[""goods"",""products""]",Noun,2,"[""lesson15""]"
ソフト,ソフト,sofuto,software,"[""computer software"",""program""]","[""software"",""program""]",Noun,1,"[""lesson15"",""katakana""]"
専門,せんもん,senmon,specialty,"[""field of study"",""specialization""]","[""expertise"",""major""]",Noun,3,"[""lesson15"",""education""]"
歯医者,はいしゃ,haisha,dentist,"[""dental clinic"",""dentist's office""]","[""dentist"",""dental doctor""]",Noun,2,"[""lesson15"",""medical""]"
床屋,とこや,tokoya,barber,"[""barbershop"",""hairdresser""]","[""barber"",""salon""]",Noun,2,"[""lesson15"",""shop""]"
プレイガイド,プレイガイド,pureigaido,ticket agency,"[""ticket office"",""theater ticket agency""]","[""ticket center"",""agency""]",Noun,1,"[""lesson15"",""katakana""]"
独身,どくしん,dokushin,single,"[""unmarried"",""bachelor""]","[""single"",""unmarried""]",Noun / Na-adjective,2,"[""lesson15""]"
特に,とくに,tokuni,especially,"[""particularly"",""notably""]","[""particularly"",""especially""]",Adverb,2,"[""lesson15""]"
思い出します,おもいだします,omoidashimasu,remember,"[""recollect"",""recall""]","[""remember"",""recall""]",Verb (Group I),3,"[""lesson15"",""verb""]"
ご家族,ごかぞく,gokazoku,your family,"[""family members"",""your household""]","[""family"",""relatives""]",Noun,2,"[""lesson15"",""honorific""]"
いらっしゃいます,いらっしゃいます,irasshaimasu,be,"[""come"",""go"",""exist (honorific)""]","[""be present"",""exist""]",Verb (Group I),4,"[""lesson15"",""honorific"",""verb""]"
高校,こうこう,koukou,senior high school,"[""high school"",""secondary school""]","[""high school"",""senior school""]",Noun,2,"[""lesson15"",""education""]"
日本橋,にほんばし,nihonbashi,Nihonbashi,"[""shopping district in Osaka""]","[""Nihonbashi area"",""district""]",Proper noun,2,"[""lesson15"",""place""]"
