kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
思います,おもいます,omoimasu,think,"[""think"", ""believe"", ""consider""]","[""suppose"", ""feel""]",Verb (Godan),4,"[""JLPT N5"", ""mental"", ""basic""]"
言います,いいます,iimasu,say,"[""say"", ""tell"", ""speak""]","[""state"", ""express""]",Verb (Godan),4,"[""JLPT N5"", ""communication"", ""basic""]"
足ります,たります,tarimasu,be enough,"[""be enough"", ""be sufficient""]","[""be adequate"", ""suffice""]",Verb (Godan),5,"[""JLPT N5"", ""quantity""]"
勝ちます,かちます,kachimasu,win,"[""win"", ""be victorious""]","[""triumph""]",Verb (Godan),5,"[""JLPT N5"", ""competition""]"
負けます,まけます,makemasu,lose,"[""lose"", ""be beaten"", ""be defeated""]","[""fail"", ""surrender""]",Verb (Ichidan),5,"[""JLPT N5"", ""competition""]"
あります,あります,arimasu,be held,"[""be held"", ""take place""]","[""happen"", ""occur""]",Verb (Godan),5,"[""JLPT N5"", ""event""]"
役に立ちます,やくにたちます,yaku ni tachimasu,be useful,"[""be useful"", ""be helpful""]","[""serve a purpose""]",Verb (Godan),6,"[""JLPT N5"", ""utility""]"
無駄[な],むだ[な],muda [na],wasteful,"[""wasteful"", ""useless""]","[""pointless"", ""futile""]",Na-Adjective,6,"[""JLPT N4"", ""negative""]"
不便[な],ふべん[な],fuben [na],inconvenient,"[""inconvenient"", ""troublesome""]","[""awkward""]",Na-Adjective,6,"[""JLPT N4"", ""negative""]"
同じ,おなじ,onaji,the same,"[""the same"", ""identical""]","[""equal"", ""similar""]",Noun / Adjective,4,"[""JLPT N5"", ""comparison""]"
すごい,すごい,sugoi,great / awful,"[""great"", ""awful"", ""amazing""]","[""terrific"", ""incredible""]",Adjective (i),5,"[""JLPT N5"", ""emphasis"", ""spoken""]"
首相,しゅしょう,shushō,prime minister,"[""prime minister""]","[""premier""]",Noun,6,"[""JLPT N4"", ""politics""]"
大統領,だいとうりょう,daitōryō,president,"[""president""]","[""head of state""]",Noun,6,"[""JLPT N4"", ""politics""]"
政治,せいじ,seiji,politics,"[""politics""]","[""political affairs""]",Noun,6,"[""JLPT N4"", ""politics""]"
ニュース,ニュース,nyūsu,news,"[""news""]","[""newscast""]",Noun,4,"[""JLPT N5"", ""media""]"
スピーチ,スピーチ,supīchi,speech,"[""speech""]","[""address"", ""talk""]",Noun,5,"[""JLPT N5"", ""communication""]"
試合,しあい,shiai,game,"[""game"", ""match""]","[""contest"", ""competition""]",Noun,5,"[""JLPT N5"", ""sports""]"
アルバイト,アルバイト,arubaito,side job,"[""part-time job"", ""side job""]","[""casual work""]",Noun,5,"[""JLPT N5"", ""work""]"
意見,いけん,iken,opinion,"[""opinion"", ""view""]","[""thought"", ""belief""]",Noun,5,"[""JLPT N5"", ""communication""]"
[お]話,[お]はなし,[o]hanashi,talk / story,"[""talk"", ""story"", ""speech""]","[""conversation"", ""tale""]",Noun,5,"[""JLPT N5"", ""communication""]"
ユーモア,ユーモア,yūmoa,humor,"[""humor"", ""wit""]","[""comedy""]",Noun,6,"[""JLPT N4"", ""culture""]"
無駄,むだ,muda,waste,"[""waste"", ""wastefulness""]","[""loss""]",Noun,6,"[""JLPT N4"", ""negative""]"
デザイン,デザイン,dezain,design,"[""design""]","[""pattern"", ""style""]",Noun,5,"[""JLPT N5"", ""art""]"
交通,こうつう,kōtsū,transportation,"[""transportation"", ""traffic""]","[""transit""]",Noun,6,"[""JLPT N4"", ""daily life""]"
ラッシュ,ラッシュ,rasshu,rush hour,"[""rush hour""]","[""peak time"", ""commute time""]",Noun,6,"[""JLPT N4"", ""daily life""]"
最近,さいきん,saikin,recently,"[""recently"", ""these days""]","[""lately""]",Adverb,5,"[""JLPT N5"", ""time""]"
たぶん,たぶん,tabun,probably,"[""probably"", ""perhaps"", ""maybe""]","[""likely""]",Adverb,5,"[""JLPT N5"", ""certainty""]"
きっと,きっと,kitto,surely,"[""surely"", ""certainly""]","[""definitely""]",Adverb,5,"[""JLPT N5"", ""certainty""]"
ほんとうに,ほんとうに,hontō ni,really,"[""really"", ""truly""]","[""honestly"", ""indeed""]",Adverb,4,"[""JLPT N5"", ""emphasis""]"
そんなに,そんなに,sonna ni,not so much,"[""not so much"", ""not very""]","[""not that much""]",Adverb,6,"[""JLPT N4"", ""negative""]"
～について,～について,~ni tsuite,about,"[""about ~"", ""concerning ~""]","[""regarding""]",Phrase,6,"[""JLPT N4"", ""grammar""]"
しかたがありません,しかたがありません,shikata ga arimasen,no choice,"[""There is no other choice"", ""It can't be helped""]","[""Nothing can be done""]",Phrase,7,"[""JLPT N4"", ""expression""]"
