kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
起きます,おきます,okimasu,wake up,"[""wake up"",""get up""]","[""目覚める""]",verb_group_2,1,"[""daily_life"",""time""]"
寝ます,ねます,nemasu,sleep,"[""sleep"",""go to bed""]","[""就寝する""]",verb_group_2,1,"[""daily_life"",""time""]"
働きます,はたらきます,hatarakimasu,work,"[""work"",""labor""]","[""勤務する""]",verb_group_1,1,"[""work"",""daily_life""]"
休みます,やすみます,yasumimasu,rest,"[""rest"",""take a break"",""take a holiday""]","[""休憩する""]",verb_group_1,1,"[""daily_life"",""health""]"
勉強します,べんきょうします,benkyou_shimasu,study,"[""study"",""learn""]","[""学習する""]",suru_verb,1,"[""study"",""school""]"
終わります,おわります,owarimasu,finish,"[""finish"",""end""]","[""終了する""]",verb_group_1,1,"[""action"",""time""]"
デパート,デパート,depaato,department store,"[""department store""]","[""百貨店""]",noun,1,"[""shopping"",""place""]"
銀行,ぎんこう,ginkou,bank,"[""bank""]",[],noun,1,"[""money"",""place""]"
郵便局,ゆうびんきょく,yuubinkyoku,post office,"[""post office""]",[],noun,2,"[""service"",""place""]"
図書館,としょかん,toshokan,library,"[""library""]",[],noun,2,"[""study"",""place""]"
美術館,びじゅつかん,bijutsukan,art museum,"[""art museum"",""art gallery""]",[],noun,2,"[""art"",""place""]"
今,いま,ima,now,"[""now"",""right now""]","[""現在""]",noun_adverb,1,"[""time""]"
～時,～じ,~ji,o'clock,"[""o'clock"",""hour""]",[],suffix_counter,1,"[""time"",""numbers""]"
～分,～ふん,~fun,minute,"[""minute""]",[],suffix_counter,1,"[""time"",""numbers""]"
半,はん,han,half,"[""half"",""half past""]",[],noun_suffix,1,"[""time"",""numbers""]"
何時,なんじ,nanji,what time,"[""what time""]",[],interrogative,1,"[""question_words"",""time""]"
何分,なんぷん,nanpun,what minute,"[""what minute""]",[],interrogative,1,"[""question_words"",""time""]"
午前,ごぜん,gozen,a.m.,"[""a.m."",""morning""]",[],noun,1,"[""time""]"
午後,ごご,gogo,p.m.,"[""p.m."",""afternoon""]",[],noun,1,"[""time""]"
朝,あさ,asa,morning,"[""morning""]",[],noun,1,"[""time""]"
昼,ひる,hiru,daytime,"[""daytime"",""noon""]",[],noun,1,"[""time""]"
晩,ばん,ban,evening,"[""evening"",""night""]","[""夜""]",noun,1,"[""time""]"
夜,よる,yoru,night,"[""night"",""evening""]","[""晩""]",noun,1,"[""time""]"
一昨日,おととい,ototoi,day before yesterday,"[""day before yesterday""]",[],noun,2,"[""time""]"
昨日,きのう,kinou,yesterday,"[""yesterday""]",[],noun,1,"[""time""]"
