kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
くれます,くれます,kuremasu,give (to me),"[""give (to me)"", ""give""]","[""hand over""]",Verb (Ichidan),5,"[""JLPT N5"", ""giving"", ""polite""]"
連れて行きます,つれていきます,tsurete ikimasu,take (someone),"[""take (someone)"", ""bring along""]","[""escort away""]",Verb (Godan),6,"[""JLPT N5"", ""movement""]"
連れて来ます,つれてきます,tsurete kimasu,bring (someone),"[""bring (someone)""]","[""bring along""]",Verb (Godan),6,"[""JLPT N5"", ""movement""]"
送ります,おくります,okurimasu,escort,"[""escort"", ""send"", ""go with""]","[""see off"", ""accompany""]",Verb (Godan),5,"[""JLPT N5"", ""movement""]"
紹介します,しょうかいします,shōkai shimasu,introduce,"[""introduce""]","[""present""]",Verb (Suru),5,"[""JLPT N5"", ""social""]"
案内します,あんないします,annai shimasu,show around,"[""show around"", ""guide""]","[""lead the way""]",Verb (Suru),6,"[""JLPT N5"", ""action""]"
説明します,せつめいします,setsumei shimasu,explain,"[""explain""]","[""describe"", ""clarify""]",Verb (Suru),5,"[""JLPT N5"", ""communication""]"
入れます,いれます,iremasu,make (coffee),"[""make"", ""put in"", ""pour""]","[""prepare (drink)""]",Verb (Ichidan),5,"[""JLPT N5"", ""daily life""]"
おじいさん / おじいちゃん,おじいさん / おじいちゃん,ojīsan / ojīchan,grandfather,"[""grandfather"", ""old man""]","[""grandpa""]",Noun,4,"[""JLPT N5"", ""family""]"
おばあさん / おばあちゃん,おばあさん / おばあちゃん,obāsan / obāchan,grandmother,"[""grandmother"", ""old woman""]","[""grandma""]",Noun,4,"[""JLPT N5"", ""family""]"
準備,じゅんび,junbi,preparation,"[""preparation""]","[""ready"", ""setup""]",Noun,5,"[""JLPT N5"", ""action""]"
意味,いみ,imi,meaning,"[""meaning"", ""sense""]","[""significance""]",Noun,5,"[""JLPT N5"", ""language""]"
[お]菓子,[お]かし,[o]kashi,sweets,"[""sweets"", ""snacks""]","[""candy"", ""confectionery""]",Noun,4,"[""JLPT N5"", ""food""]"
全部,ぜんぶ,zenbu,all,"[""all"", ""everything""]","[""entire"", ""whole""]",Adverb / Noun,4,"[""JLPT N5"", ""quantity""]"
自分で,じぶんで,jibun de,by oneself,"[""by oneself"", ""by myself""]","[""personally"", ""alone""]",Phrase,5,"[""JLPT N5"", ""self""]"
ほかに,ほかに,hoka ni,besides,"[""besides"", ""in addition""]","[""other than"", ""apart from""]",Adverb,6,"[""JLPT N4"", ""expression""]"
ワゴン車,ワゴンしゃ,wagonsha,station wagon,"[""station wagon""]","[""wagon car""]",Noun,6,"[""JLPT N4"", ""vehicle""]"
[お]弁当,[お]べんとう,[o]bentō,box lunch,"[""box lunch"", ""bento""]","[""packed meal""]",Noun,4,"[""JLPT N5"", ""food""]"
母の日,ははのひ,Haha no Hi,Mother's Day,"[""Mother's Day""]","[""Mother's Day celebration""]",Proper Noun,5,"[""JLPT N5"", ""culture"", ""festival""]"
