kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
つけます,つけます,tsukemasu,turn on,"[""switch on"",""activate""]","[""start"",""activate""]",Verb (Group II),2,"[""lesson14"",""verb""]"
消します,けします,keshimasu,turn off,"[""switch off"",""erase""]","[""shut off"",""extinguish""]",Verb (Group I),2,"[""lesson14"",""verb""]"
開けます,あけます,akemasu,open,"[""uncover"",""unlock""]","[""open up"",""unlock""]",Verb (Group II),2,"[""lesson14"",""verb""]"
閉めます,しめます,shimemasu,close,"[""shut"",""seal""]","[""shut"",""close up""]",Verb (Group II),2,"[""lesson14"",""verb""]"
急ぎます,いそぎます,isogimasu,hurry,"[""rush"",""be quick""]","[""rush"",""speed up""]",Verb (Group I),2,"[""lesson14"",""verb""]"
待ちます,まちます,machimasu,wait,"[""stay"",""remain waiting""]","[""wait"",""pause""]",Verb (Group I),1,"[""lesson14"",""verb""]"
止めます,とめます,tomemasu,stop,"[""park"",""halt""]","[""halt"",""cease""]",Verb (Group II),2,"[""lesson14"",""verb""]"
曲がります,まがります,magarimasu,turn,"[""change direction"",""turn corner""]","[""bend"",""turn""]",Verb (Group I),2,"[""lesson14"",""verb""]"
[右へ〜],[みぎへ〜],[migi e ~],turn to the right,"[""go right"",""make right turn""]","[""turn right"",""go right""]",Expression,1,"[""lesson14""]"
持ちます,もちます,mochimasu,hold,"[""carry"",""possess""]","[""carry"",""grasp""]",Verb (Group I),2,"[""lesson14"",""verb""]"
取ります,とります,torimasu,take,"[""pass"",""pick up""]","[""grab"",""receive""]",Verb (Group I),2,"[""lesson14"",""verb""]"
手伝います,てつだいます,tetsudaimasu,help,"[""assist"",""support""]","[""assist"",""aid""]",Verb (Group I),2,"[""lesson14"",""verb""]"
呼びます,よびます,yobimasu,call,"[""invite"",""summon""]","[""call out"",""summon""]",Verb (Group I),2,"[""lesson14"",""verb""]"
話します,はなします,hanashimasu,speak,"[""talk"",""converse""]","[""talk"",""chat""]",Verb (Group I),1,"[""lesson14"",""verb""]"
見せます,みせます,misemasu,show,"[""display"",""present""]","[""display"",""reveal""]",Verb (Group II),2,"[""lesson14"",""verb""]"
