kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
乗ります,のります,norimasu,ride,"[""get on"",""board""]","[""board"",""ride""]",Verb (Group I),2,"[""lesson16"",""transport"",""verb""]"
[電車を〜],[でんしゃを〜],[densha o ~],get off a train,"[""leave train"",""disembark train""]","[""exit"",""leave""]",Expression,1,"[""lesson16"",""transport""]"
乗り換えます,のりかえます,norikaemasu,change,"[""transfer"",""change trains""]","[""transfer"",""switch""]",Verb (Group II),3,"[""lesson16"",""transport"",""verb""]"
浴びます,あびます,abimasu,take a shower,"[""bathe"",""shower""]","[""shower"",""bathe""]",Verb (Group II),2,"[""lesson16"",""verb""]"
入れます,いれます,iremasu,put in,"[""insert"",""place inside""]","[""insert"",""add""]",Verb (Group II),2,"[""lesson16"",""verb""]"
出します,だします,dashimasu,take out,"[""withdraw"",""remove""]","[""remove"",""pull out""]",Verb (Group I),2,"[""lesson16"",""verb""]"
[大学に〜],[だいがくに〜],[daigaku ni ~],enter university,"[""go to university"",""join university""]","[""enter"",""join""]",Expression,2,"[""lesson16"",""education""]"
[大学を〜],[だいがくを〜],[daigaku o ~],graduate university,"[""finish university"",""leave university""]","[""graduate"",""complete""]",Expression,2,"[""lesson16"",""education""]"
[会社を〜],[かいしゃを〜],[kaisha o ~],quit a company,"[""leave company"",""retire from company""]","[""quit"",""resign""]",Expression,2,"[""lesson16"",""work""]"
押します,おします,oshimasu,push,"[""press"",""push button""]","[""press"",""push""]",Verb (Group I),1,"[""lesson16"",""verb""]"
若い,わかい,wakai,young,"[""youthful"",""juvenile""]","[""young"",""youthful""]",I-adjective,1,"[""lesson16"",""adjective""]"
長い,ながい,nagai,long,"[""lengthy"",""extended""]","[""long"",""extended""]",I-adjective,1,"[""lesson16"",""adjective""]"
短い,みじかい,mijikai,short,"[""brief"",""small length""]","[""short"",""brief""]",I-adjective,1,"[""lesson16"",""adjective""]"
明るい,あかるい,akarui,bright,"[""light"",""cheerful""]","[""bright"",""light""]",I-adjective,2,"[""lesson16"",""adjective""]"
暗い,くらい,kurai,dark,"[""dim"",""gloomy""]","[""dark"",""dim""]",I-adjective,1,"[""lesson16"",""adjective""]"
背が高い,せがたかい,sega takai,tall,"[""high stature"",""tall person""]","[""tall"",""high""]",Expression,2,"[""lesson16"",""appearance""]"
頭がいい,あたまがいい,atama ga ii,clever,"[""smart"",""intelligent""]","[""bright"",""smart""]",Expression,2,"[""lesson16"",""appearance""]"
体,からだ,karada,body,"[""physique"",""human body""]","[""body"",""figure""]",Noun,1,"[""lesson16"",""body""]"
頭,あたま,atama,head,"[""brain"",""top of body""]","[""head"",""mind""]",Noun,1,"[""lesson16"",""body""]"
髪,かみ,kami,hair,"[""head hair"",""hairstyle""]","[""hair"",""locks""]",Noun,1,"[""lesson16"",""body""]"
顔,かお,kao,face,"[""facial appearance"",""look""]","[""face"",""visage""]",Noun,1,"[""lesson16"",""body""]"
目,め,me,eye,"[""eyesight"",""vision organ""]","[""eye"",""vision""]",Noun,1,"[""lesson16"",""body""]"
耳,みみ,mimi,ear,"[""hearing organ"",""ears""]","[""ear"",""hearing""]",Noun,1,"[""lesson16"",""body""]"
口,くち,kuchi,mouth,"[""oral opening"",""lips""]","[""mouth"",""oral cavity""]",Noun,1,"[""lesson16"",""body""]"
歯,は,ha,tooth,"[""teeth"",""dental structure""]","[""tooth"",""teeth""]",Noun,1,"[""lesson16"",""body""]"
おなか,おなか,onaka,stomach,"[""belly"",""abdomen""]","[""stomach"",""belly""]",Noun,1,"[""lesson16"",""body""]"
足,あし,ashi,leg,"[""foot"",""lower limb""]","[""leg"",""foot""]",Noun,1,"[""lesson16"",""body""]"
