kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
います,います,imasu,have [a child],"[""have children""]","[""possess"",""own""]",Verb,1,"[""family"",""basic""]"
日本に〜います,にほんに〜います,nihon ni~imasu,stay in Japan,"[""remain in Japan"",""live in Japan""]","[""stay"",""remain""]",Expression,2,"[""location"",""travel""]"
かかります,かかります,kakarimasu,take (time/money),"[""cost"",""require""]","[""need"",""consume""]",Verb,2,"[""time"",""money""]"
休みます,やすみます,yasumimasu,take a day off,"[""rest"",""be absent""]","[""relax"",""pause""]",Verb,1,"[""work"",""holiday""]"
一つ,ひとつ,hitotsu,one,"[""one thing""]","[""single"",""unit""]",Counter,1,"[""numbers"",""counter""]"
二つ,ふたつ,futatsu,two,"[""two things""]","[""pair"",""double""]",Counter,1,"[""numbers"",""counter""]"
三つ,みっつ,mittsu,three,"[""three things""]","[""trio"",""triple""]",Counter,1,"[""numbers"",""counter""]"
四つ,よっつ,yottsu,four,"[""four things""]","[""quartet"",""quad""]",Counter,1,"[""numbers"",""counter""]"
五つ,いつつ,itsutsu,five,"[""five things""]","[""group of five"",""quintet""]",Counter,1,"[""numbers"",""counter""]"
六つ,むっつ,muttsu,six,"[""six things""]","[""half dozen"",""group of six""]",Counter,1,"[""numbers"",""counter""]"
七つ,ななつ,nanatsu,seven,"[""seven things""]","[""septet"",""group of seven""]",Counter,1,"[""numbers"",""counter""]"
八つ,やっつ,yattsu,eight,"[""eight things""]","[""octet"",""group of eight""]",Counter,1,"[""numbers"",""counter""]"
九つ,ここのつ,kokonotsu,nine,"[""nine things""]","[""nonet"",""group of nine""]",Counter,1,"[""numbers"",""counter""]"
十,とお,too,ten,"[""ten things""]","[""decade"",""group of ten""]",Counter,1,"[""numbers"",""counter""]"
いくつ,いくつ,ikutsu,how many,"[""how much""]","[""quantity"",""amount""]",Question,1,"[""question"",""numbers""]"
一人,ひとり,hitori,one person,"[""single person""]","[""individual"",""alone""]",Counter,1,"[""people"",""counter""]"
二人,ふたり,futari,two persons,"[""two people""]","[""duo"",""pair""]",Counter,1,"[""people"",""counter""]"
〜人,〜にん,~nin,people counter,"[""counter for people""]","[""person counter"",""human counter""]",Counter,2,"[""people"",""grammar""]"
〜台,〜だい,~dai,"(counter for machines,cars,etc)","[""vehicle counter""]","[""equipment counter"",""machine counter""]",Counter,2,"[""machines"",""counter""]"
〜枚,〜まい,~mai,"(counter for paper,stamps,etc)","[""sheet counter""]","[""paper counter"",""flat counter""]",Counter,2,"[""paper"",""counter""]"
〜回,〜かい,~kai,times ,"[""occurrences""]","[""frequency"",""repetition""]",Counter,2,"[""frequency"",""counter""]"
りんご,りんご,ringo,apple,"[""apple fruit""]","[""fruit"",""red apple""]",Noun,1,"[""food"",""fruit""]"
みかん,みかん,mikan,mandarin orange,"[""tangerine""]","[""orange"",""citrus""]",Noun,1,"[""food"",""fruit""]"
サンドイッチ,サンドイッチ,sandoicchi,sandwich,"[""filled bread""]","[""snack"",""sub""]",Noun,1,"[""food"",""meal""]"
カレーライス,カレーライス,karee raisu,curry and rice,"[""Japanese curry rice""]","[""curry"",""rice dish""]",Noun,1,"[""food"",""meal""]"
アイスクリーム,アイスクリーム,aisukuriimu,ice cream,"[""frozen dessert""]","[""dessert"",""gelato""]",Noun,1,"[""food"",""dessert""]"
切手,きって,kitte,postage stamp,"[""stamp""]","[""postal stamp"",""mail stamp""]",Noun,2,"[""mail"",""post""]"
葉書,はがき,hagaki,post card,"[""postcard""]","[""mail card"",""postal card""]",Noun,1,"[""mail"",""post""]"
封筒,ふうとう,fuutou,envelope,"[""mail envelope""]","[""cover"",""packet""]",Noun,2,"[""mail"",""stationery""]"
速達,そくたつ,sokutatsu,special delivery,"[""express mail""]","[""priority mail"",""express post""]",Noun,3,"[""mail"",""delivery""]"
書留,かきとめ,kakitome,registered mail,"[""recorded delivery""]","[""insured mail"",""registered post""]",Noun,3,"[""mail"",""delivery""]"
エアメール,エアメール,eameeru,airmail,"[""air post""]","[""air delivery"",""postal air mail""]",Noun,2,"[""mail"",""shipping""]"
船便,ふなびん,funabin,sea mail,"[""surface mail""]","[""ship mail"",""ocean delivery""]",Noun,2,"[""mail"",""shipping""]"
両親,りょうしん,ryoushin,parents,"[""mother and father""]","[""guardians"",""family""]",Noun,2,"[""family"",""people""]"
兄弟,きょうだい,kyoudai,brothers and sisters,"[""brothers and sisters""]","[""family"",""siblings""]",Noun,2,"[""family"",""people""]"
兄,あに,ani,(my)elder brother,"[""older brother""]","[""big brother"",""elder sibling""]",Noun,1,"[""family"",""people""]"
お兄さん,おにいさん,oniisan,(someone else's)elder brother,"[""someone else's older brother""]","[""big brother"",""elder sibling""]",Noun,1,"[""family"",""polite""]"
姉,あね,ane,(my)elder sister,"[""older sister""]","[""big sister"",""elder sibling""]",Noun,1,"[""family"",""people""]"
お姉さん,おねえさん,oneesan,(someone else's)elder sister,"[""someone else's older sister""]","[""big sister"",""elder sibling""]",Noun,1,"[""family"",""polite""]"
弟,おとうと,otouto,(my)younger brother,"[""little brother""]","[""younger sibling"",""brother""]",Noun,1,"[""family"",""people""]"
弟さん,おとうとさん,otoutosan,(someone else's)younger brother,"[""someone else's younger brother""]","[""little brother"",""younger sibling""]",Noun,1,"[""family"",""polite""]"
妹,いもうと,imouto,(my)younger sister,"[""little sister""]","[""younger sibling"",""sister""]",Noun,1,"[""family"",""people""]"
妹さん,いもうとさん,imoutosan,(someone else's)younger sister,"[""someone else's younger sister""]","[""little sister"",""younger sibling""]",Noun,1,"[""family"",""polite""]"
