kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
ここ,ここ,koko,here,"[""here"",""this place""]","[""こちら""]",pronoun,1,"[""location""]"
そこ,そこ,soko,there near you,"[""there"",""that place near you""]","[""そちら""]",pronoun,1,"[""location""]"
あそこ,あそこ,asoko,over there,"[""over there"",""that place over there""]","[""あちら""]",pronoun,1,"[""location""]"
どこ,どこ,doko,where,"[""where"",""what place""]","[""どちら""]",interrogative,1,"[""question_words"",""location""]"
こちら,こちら,kochira,this way,"[""this way"",""this place"",""this person""]","[""ここ""]",pronoun,2,"[""polite"",""location""]"
そちら,そちら,sochira,that way,"[""that way"",""that place near you"",""that person""]","[""そこ""]",pronoun,2,"[""polite"",""location""]"
あちら,あちら,achira,that way over there,"[""that way over there"",""that place over there"",""that person over there""]","[""あそこ""]",pronoun,2,"[""polite"",""location""]"
どちら,どちら,dochira,which way,"[""which way"",""where"",""which person""]","[""どこ""]",interrogative,2,"[""question_words"",""polite""]"
教室,きょうしつ,kyoushitsu,classroom,"[""classroom"",""class""]","[""クラス""]",noun,1,"[""school""]"
食堂,しょくどう,shokudou,dining hall,"[""dining hall"",""cafeteria"",""canteen""]","[""食事処""]",noun,2,"[""food"",""school""]"
事務所,じむしょ,jimusho,office,"[""office"",""business office""]","[""オフィス""]",noun,2,"[""work""]"
会議室,かいぎしつ,kaigishitsu,meeting room,"[""meeting room"",""conference room"",""assembly room""]","[""ミーティングルーム""]",noun,3,"[""work"",""room""]"
受付,うけつけ,uketsuke,reception desk,"[""reception desk"",""information desk"",""front desk""]","[""フロント""]",noun,2,"[""service"",""office""]"
ロビー,ロビー,robii,lobby,"[""lobby"",""entrance hall""]","[""待合室""]",noun,1,"[""building""]"
トイレ,トイレ,toire,toilet,"[""toilet"",""restroom"",""bathroom""]","[""お手洗い""]",noun,1,"[""daily_life""]"
階段,かいだん,kaidan,stairs,"[""stairs"",""staircase""]","[""階段""]",noun,1,"[""building""]"
エレベーター,エレベーター,erebeetaa,elevator,"[""elevator"",""lift""]","[""リフト""]",noun,1,"[""building"",""transport""]"
エスカレーター,エスカレーター,esukareetaa,escalator,"[""escalator""]","[""moving staircase""]",noun,2,"[""building"",""transport""]"
国,くに,kuni,country,"[""country"",""nation"",""state""]","[""国家""]",noun,1,"[""country"",""place""]"
会社,かいしゃ,kaisha,company,"[""company"",""business"",""corporation""]","[""企業""]",noun,1,"[""work"",""business""]"
うち,うち,uchi,home,"[""home"",""house"",""my place""]","[""家""]",noun,1,"[""house"",""daily_life""]"
電話,でんわ,denwa,telephone,"[""telephone"",""phone"",""telephone call""]","[""コール""]",noun,1,"[""communication""]"
靴,くつ,kutsu,shoes,"[""shoes"",""footwear""]","[""履物""]",noun,1,"[""clothing""]"
ネクタイ,ネクタイ,nekutai,necktie,"[""necktie"",""tie""]","[""タイ""]",noun,1,"[""clothing""]"
ワイン,ワイン,wain,wine,"[""wine""]","[""葡萄酒""]",noun,1,"[""drink""]"
たばこ,たばこ,tabako,tobacco,"[""tobacco"",""cigarette""]","[""煙草""]",noun,2,"[""smoking""]"
売り場,うりば,uriba,sales counter,"[""sales counter"",""department"",""sales floor""]","[""売場""]",noun,2,"[""shopping""]"
地下,ちか,chika,basement,"[""basement"",""underground""]","[""地下階""]",noun,2,"[""building""]"
～階,～かい,~kai,floor,"[""floor"",""story"",""level""]","[""階層""]",suffix,1,"[""building"",""numbers""]"
何階,なんがい,nangai,what floor,"[""what floor"",""which floor""]","[""どの階""]",interrogative,2,"[""question_words"",""building""]"
～円,～えん,~en,yen,"[""yen"",""Japanese yen""]","[""JPY""]",suffix,1,"[""money""]"
いくら,いくら,ikura,how much,"[""how much"",""what price""]","[""値段""]",interrogative,1,"[""question_words"",""shopping""]"
百,ひゃく,hyaku,hundred,"[""hundred""]","[""100""]",number,1,"[""numbers""]"
千,せん,sen,thousand,"[""thousand""]","[""1000""]",number,1,"[""numbers""]"
万,まん,man,ten thousand,"[""ten thousand""]","[""10000""]",number,2,"[""numbers""]"
すみません,すみません,sumimasen,excuse me,"[""excuse me"",""sorry"",""thank you for the trouble""]","[""失礼します""]",expression,1,"[""greetings"",""polite""]"
～でございます,～でございます,~de_gozaimasu,polite form of desu,"[""polite form of desu"",""formal copula""]","[""です""]",expression,3,"[""polite"",""grammar""]"
見せてください,みせてください,misete_kudasai,please show me,"[""please show me"",""let me see""]","[""見せる""]",expression,2,"[""shopping"",""request""]"
じゃ,じゃ,ja,well then,"[""well then"",""in that case""]","[""それでは""]",conjunction,1,"[""conversation""]"
～をください,～をください,~o_kudasai,give me,"[""give me"",""please give me""]","[""お願いします""]",expression,1,"[""shopping"",""request""]"
大阪駅,おおさかえき,oosaka_eki,Osaka Station,"[""Osaka Station""]",[],proper_noun,2,"[""place"",""transport""]"
イタリア,イタリア,itaria,Italy,"[""Italy""]",[],proper_noun,1,"[""country"",""place""]"
スイス,スイス,suisu,Switzerland,"[""Switzerland""]",[],proper_noun,1,"[""country"",""place""]"
MTヨネヤマ,MTヨネヤマ,mt_yoneyama,MT Yoneyama,"[""MT Yoneyama""]",[],proper_noun,3,"[""company"",""fictional""]"
ナックス,ナックス,nakkusu,Nacs,"[""Nacs""]",[],proper_noun,3,"[""company"",""fictional""]"
