kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
着ます,きます,kimasu,put on,"[""put on"", ""wear""]","[""dress in"", ""get dressed""]",Verb (Ichidan),5,"[""JLPT N5"", ""clothing"", ""action""]"
履きます,はきます,hakimasu,put on,"[""put on (shoes/trousers)"", ""wear""]","[""slip on""]",Verb (Godan),5,"[""JLPT N5"", ""clothing"", ""action""]"
被ります,かぶります,kaburimasu,put on,"[""put on (hat)"", ""wear""]","[""cover head""]",Verb (Godan),6,"[""JLPT N5"", ""clothing"", ""action""]"
掛けます,かけます,kakemasu,put on,"[""put on (glasses)"", ""wear""]","[""put on eyewear""]",Verb (Ichidan),6,"[""JLPT N5"", ""clothing"", ""action""]"
生まれます,うまれます,umaremasu,be born,"[""be born"", ""come into being""]","[""be delivered""]",Verb (Ichidan),5,"[""JLPT N5"", ""life""]"
コート,コート,kōto,coat,"[""coat"", ""overcoat""]","[""jacket""]",Noun,4,"[""JLPT N5"", ""clothing""]"
スーツ,スーツ,sūtsu,suit,"[""suit""]","[""business suit""]",Noun,4,"[""JLPT N5"", ""clothing""]"
セーター,セーター,sētā,sweater,"[""sweater"", ""pullover""]","[""jumper""]",Noun,4,"[""JLPT N5"", ""clothing""]"
帽子,ぼうし,bōshi,hat,"[""hat"", ""cap""]","[""headwear""]",Noun,4,"[""JLPT N5"", ""clothing""]"
眼鏡,めがね,megane,glasses,"[""glasses"", ""spectacles""]","[""eyewear""]",Noun,4,"[""JLPT N5"", ""clothing""]"
よく,よく,yoku,often,"[""often"", ""frequently"", ""well""]","[""many times""]",Adverb,4,"[""JLPT N5"", ""frequency""]"
おめでとうございます,おめでとうございます,omedetō gozaimasu,Congratulations,"[""Congratulations""]","[""Best wishes"", ""Happy celebration""]",Phrase,5,"[""JLPT N5"", ""celebration"", ""polite""]"
こちら,こちら,kochira,this,"[""this (polite)"", ""here""]","[""this one"", ""this way""]",Pronoun,4,"[""JLPT N5"", ""polite"", ""demonstrative""]"
家賃,やちん,yachin,house rent,"[""rent"", ""house rent""]","[""monthly rent""]",Noun,6,"[""JLPT N4"", ""housing"", ""money""]"
うーん,うーん,ūn,Let me see,"[""Let me see"", ""Hmm""]","[""Well..."", ""Let me think""]",Interjection,5,"[""JLPT N5"", ""casual"", ""spoken""]"
ダイニングキッチン,ダイニングキッチン,dainingu kitchin,dining kitchen,"[""kitchen with dining area""]","[""open kitchen""]",Noun,6,"[""JLPT N4"", ""housing""]"
和室,わしつ,washitsu,Japanese-style room,"[""Japanese-style room""]","[""tatami room""]",Noun,6,"[""JLPT N4"", ""housing"", ""culture""]"
押し入れ,おしいれ,oshiire,Japanese-style closet,"[""closet"", ""built-in closet""]","[""storage closet""]",Noun,6,"[""JLPT N4"", ""housing""]"
布団,ふとん,futon,Japanese mattress,"[""futon"", ""Japanese bedding""]","[""mattress and quilt""]",Noun,5,"[""JLPT N5"", ""housing"", ""culture""]"
アパート,アパート,apāto,apartment,"[""apartment""]","[""flat""]",Noun,4,"[""JLPT N5"", ""housing""]"
パリ,パリ,Pari,Paris,"[""Paris""]","[""French capital""]",Proper Noun,4,"[""JLPT N5"", ""place"", ""culture""]"
万里の長城,ばんりのちょうじょう,Banri no Chōjō,Great Wall of China,"[""the Great Wall of China""]","[""Great Wall""]",Proper Noun,7,"[""JLPT N4"", ""history"", ""culture""]"
余暇開発センター,よかかいはつセンター,Yoka Kaihatsu Sentā,Center for Developing Leisure Activities,"[""Center for Developing Leisure Activities""]","[""Leisure Development Center""]",Proper Noun,8,"[""JLPT N4"", ""organization""]"
レジャー白書,レジャーはくしょ,Rejā Hakusho,white paper on leisure,"[""white paper on leisure""]","[""leisure report""]",Noun,8,"[""JLPT N4"", ""document""]"
