kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
考えます,かんがえます,kangaemasu,think,"[""think"", ""consider""]","[""ponder"", ""contemplate""]",Verb (Ichidan),5,"[""JLPT N5"", ""mental""]"
着きます,つきます,tsukimasu,arrive,"[""arrive"", ""reach""]","[""get to"", ""come to""]",Verb (Godan),4,"[""JLPT N5"", ""movement"", ""travel""]"
留学します,りゅうがくします,ryūgaku shimasu,study abroad,"[""study abroad""]","[""go overseas to study""]",Verb (Suru),6,"[""JLPT N5"", ""education""]"
取ります,とります,torimasu,grow old,"[""grow old"", ""age""]","[""get older""]",Verb (Godan),6,"[""JLPT N5"", ""life""]"
田舎,いなか,inaka,countryside,"[""countryside"", ""hometown""]","[""rural area"", ""home village""]",Noun,5,"[""JLPT N5"", ""place""]"
大使館,たいしかん,taishikan,embassy,"[""embassy""]","[""diplomatic mission""]",Noun,6,"[""JLPT N5"", ""official""]"
グループ,グループ,gurūpu,group,"[""group""]","[""team"", ""party""]",Noun,4,"[""JLPT N5"", ""common""]"
チャンス,チャンス,chansu,chance,"[""chance"", ""opportunity""]","[""luck""]",Noun,5,"[""JLPT N5"", ""common""]"
億,おく,oku,hundred million,"[""hundred million""]","[""100,000,000""]",Counter,6,"[""JLPT N5"", ""number""]"
もし,もし,moshi,if,"[""if ~""]","[""suppose"", ""in case""]",Conjunction,5,"[""JLPT N5"", ""grammar""]"
いくら,いくら,ikura,however,"[""however ~"", ""even if ~""]","[""no matter how""]",Adverb,6,"[""JLPT N4"", ""grammar""]"
転勤,てんきん,tenkin,transfer,"[""transfer (to another office)""]","[""job relocation""]",Noun,6,"[""JLPT N4"", ""work""]"
こと,こと,koto,thing,"[""thing"", ""matter""]","[""fact"", ""issue""]",Noun,4,"[""JLPT N5"", ""basic""]"
一杯飲みましょう,いっぱいのみましょう,Ippai nomimashō,Let's have a drink,"[""Let's have a drink together""]","[""Shall we drink?""]",Phrase,6,"[""JLPT N4"", ""invitation""]"
[いろいろ] お世話になりました,[いろいろ] おせわになりました,[Iroiro] Osewa ni narimashita,Thank you for everything,"[""Thank you for everything you have done""]","[""You've been very helpful""]",Phrase,6,"[""JLPT N4"", ""gratitude""]"
頑張ります,がんばります,ganbarimasu,do one's best,"[""do one's best"", ""try hard""]","[""work hard"", ""hang in there""]",Verb (Godan),5,"[""JLPT N5"", ""effort""]"
どうぞ お元気で,どうぞ おげんきで,Dōzo ogenki de,Best of luck,"[""Best of luck"", ""Take care""]","[""Stay well""]",Phrase,6,"[""JLPT N4"", ""farewell""]"
