kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
これ,これ,kore,this,"[""this thing"",""this one""]",[],pronoun,1,"[""objects""]"
それ,それ,sore,that near you,"[""that thing near you"",""that one near you""]",[],pronoun,1,"[""objects""]"
あれ,あれ,are,that over there,"[""that thing over there"",""that one over there""]",[],pronoun,1,"[""objects""]"
この～,この～,kono,this,"[""this~"",""this~here""]",[],prenoun_adjective,1,"[""grammar"",""objects""]"
その～,その～,sono,that near you,"[""that~"",""that~near you""]",[],prenoun_adjective,1,"[""grammar"",""objects""]"
あの～,あの～,ano,that over there,"[""that~"",""that~over there""]",[],prenoun_adjective,1,"[""grammar"",""objects""]"
本,ほん,hon,book,"[""book""]","[""書籍""]",noun,1,"[""study"",""objects""]"
辞書,じしょ,jisho,dictionary,"[""dictionary""]",[],noun,1,"[""study"",""language""]"
雑誌,ざっし,zasshi,magazine,"[""magazine"",""journal""]",[],noun,1,"[""media"",""reading""]"
新聞,しんぶん,shinbun,newspaper,"[""newspaper""]",[],noun,1,"[""media"",""reading""]"
ノート,ノート,nooto,notebook,"[""notebook""]",[],noun,1,"[""study""]"
手帳,てちょう,techou,pocket notebook,"[""pocket notebook"",""planner""]","[""メモ帳""]",noun,2,"[""study"",""daily_life""]"
名刺,めいし,meishi,business card,"[""business card"",""name card""]",[],noun,2,"[""business"",""identity""]"
カード,カード,kaado,card,"[""card""]",[],noun,1,"[""objects""]"
鉛筆,えんぴつ,enpitsu,pencil,"[""pencil""]",[],noun,1,"[""study""]"
ボールペン,ボールペン,boorupen,ballpoint pen,"[""ballpoint pen""]",[],noun,1,"[""study""]"
シャープペンシル,シャープペンシル,shaapu_penshiru,mechanical pencil,"[""mechanical pencil"",""propelling pencil""]",[],noun,2,"[""study""]"
時計,とけい,tokei,watch,"[""watch"",""clock""]",[],noun,1,"[""time"",""objects""]"
傘,かさ,kasa,umbrella,"[""umbrella"",""parasol""]",[],noun,1,"[""weather"",""daily_life""]"
鞄,かばん,kaban,bag,"[""bag"",""briefcase""]",[],noun,1,"[""objects"",""daily_life""]"
カセットテープ,カセットテープ,kasetto_teepu,cassette tape,"[""cassette tape""]",[],noun,2,"[""technology"",""media""]"
テープレコーダー,テープレコーダー,teepu_rekoodaa,tape recorder,"[""tape recorder""]",[],noun,2,"[""technology""]"
テレビ,テレビ,terebi,television,"[""television"",""TV""]",[],noun,1,"[""technology"",""media""]"
ラジオ,ラジオ,rajio,radio,"[""radio""]",[],noun,1,"[""technology"",""media""]"
カメラ,カメラ,kamera,camera,"[""camera""]",[],noun,1,"[""technology""]"
コンピューター,コンピューター,konpyuutaa,computer,"[""computer""]",[],noun,1,"[""technology""]"
自動車,じどうしゃ,jidousha,automobile,"[""automobile"",""car""]","[""車""]",noun,2,"[""transport""]"
机,つくえ,tsukue,desk,"[""desk"",""table""]",[],noun,1,"[""furniture""]"
椅子,いす,isu,chair,"[""chair""]",[],noun,1,"[""furniture""]"
チョコレート,チョコレート,chokoreeto,chocolate,"[""chocolate""]",[],noun,1,"[""food""]"
コーヒー,コーヒー,koohii,coffee,"[""coffee""]",[],noun,1,"[""drink""]"
英語,えいご,eigo,English language,"[""English"",""English language""]",[],noun,1,"[""language"",""study""]"
日本語,にほんご,nihongo,Japanese language,"[""Japanese"",""Japanese language""]",[],noun,1,"[""language"",""study""]"
～語,～ご,~go,language suffix,"[""language"",""language suffix""]",[],suffix,1,"[""language"",""grammar""]"
何,なに,nani,what,"[""what""]",[],interrogative,1,"[""question_words""]"
そう,そう,sou,so,"[""so"",""that is so""]",[],adverb,1,"[""response""]"
違います,ちがいます,chigaimasu,differ,"[""differ"",""be wrong"",""not correct""]","[""異なる""]",verb_group_1,2,"[""comparison"",""conversation""]"
そうですか,そうですか,sou_desu_ka,is that so,"[""is that so"",""I see""]",[],expression,1,"[""conversation"",""response""]"
あのう,あのう,anou,well,"[""well"",""erm"",""let me see""]",[],interjection,1,"[""conversation""]"
ほんの気持ちです,ほんのきもちです,honno_kimochi_desu,just a small gift,"[""it's nothing"",""just a small gift"",""token of appreciation""]",[],expression,2,"[""gift"",""polite""]"
どうぞ,どうぞ,douzo,please,"[""please"",""here you are"",""go ahead""]",[],expression,1,"[""polite"",""conversation""]"
どうも,どうも,doumo,thanks,"[""thanks"",""thank you"",""very""]",[],expression,1,"[""greetings"",""response""]"
ありがとうございます,ありがとうございます,arigatou_gozaimasu,thank you,"[""thank you very much""]","[""どうも""]",expression,1,"[""greetings"",""polite""]"
こちらこそ,こちらこそ,kochira_koso,same here,"[""same here"",""likewise""]",[],expression,2,"[""conversation"",""polite""]"
これからお世話になります,これからおせわになります,korekara_osewa_ni_narimasu,thank you in advance,"[""I hope for your kind assistance hereafter"",""thank you in advance""]",[],expression,3,"[""business"",""polite""]"
こちらこそよろしく,こちらこそよろしく,kochira_koso_yoroshiku,pleased to meet you too,"[""pleased to meet you too"",""same to you""]",[],expression,2,"[""greetings"",""response""]"
