kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
聞きます,ききます,kikimasu,ask,"[""ask"", ""listen to"", ""hear""]","[""inquire"", ""question""]",Verb (Godan),4,"[""JLPT N5"", ""communication""]"
回します,まわします,mawashimasu,turn,"[""turn"", ""rotate"", ""spin""]","[""twist"", ""pass around""]",Verb (Godan),5,"[""JLPT N5"", ""action""]"
引きます,ひきます,hikimasu,pull,"[""pull"", ""draw""]","[""tug"", ""drag""]",Verb (Godan),5,"[""JLPT N5"", ""action""]"
変えます,かえます,kaemasu,change,"[""change"", ""alter"", ""switch""]","[""modify"", ""exchange""]",Verb (Ichidan),5,"[""JLPT N5"", ""action""]"
触ります,さわります,sawarimasu,touch,"[""touch"", ""feel""]","[""contact"", ""handle""]",Verb (Godan),5,"[""JLPT N5"", ""action""]"
出ます,でます,demasu,come out,"[""come out"", ""appear"", ""exit""]","[""leave"", ""emerge""]",Verb (Ichidan),4,"[""JLPT N5"", ""movement""]"
動きます,うごきます,ugokimasu,move,"[""move"", ""work (machine)""]","[""operate"", ""function""]",Verb (Godan),5,"[""JLPT N5"", ""movement""]"
歩きます,あるきます,arukimasu,walk,"[""walk"", ""go on foot""]","[""stroll""]",Verb (Godan),4,"[""JLPT N5"", ""movement""]"
渡ります,わたります,watarimasu,cross,"[""cross"", ""go across""]","[""traverse""]",Verb (Godan),5,"[""JLPT N5"", ""movement""]"
気をつけます,きをつけます,ki o tsukemasu,pay attention,"[""pay attention"", ""take care"", ""be careful""]","[""watch out"", ""mind""]",Verb (Ichidan),6,"[""JLPT N5"", ""caution""]"
引っ越します,ひっこします,hikkoshimasu,move house,"[""move (house)"", ""relocate""]","[""change residence""]",Verb (Suru),6,"[""JLPT N4"", ""daily life""]"
電気屋,でんきや,denkiya,electrician,"[""electrician"", ""electrical shop""]","[""electric repairman""]",Noun,6,"[""JLPT N4"", ""occupation""]"
～屋,～や,~ya,shopkeeper,"[""person of ~ shop"", ""~ dealer""]","[""~ seller""]",Suffix,6,"[""JLPT N4"", ""occupation""]"
サイズ,サイズ,saizu,size,"[""size""]","[""measurement""]",Noun,4,"[""JLPT N5"", ""common""]"
音,おと,oto,sound,"[""sound"", ""noise""]","[""tone""]",Noun,4,"[""JLPT N5"", ""basic""]"
機械,きかい,kikai,machine,"[""machine"", ""mechanism""]","[""device"", ""apparatus""]",Noun,5,"[""JLPT N5"", ""technology""]"
つまみ,つまみ,tsumami,knob,"[""knob"", ""handle"", ""dial""]","[""switch""]",Noun,6,"[""JLPT N4"", ""object""]"
故障,こしょう,koshō,breakdown,"[""breakdown"", ""failure""]","[""malfunction"", ""trouble""]",Noun,6,"[""JLPT N4"", ""problem""]"
道,みち,michi,road,"[""road"", ""way"", ""path""]","[""street"", ""route""]",Noun,4,"[""JLPT N5"", ""place""]"
交差点,こうさてん,kōsaten,crossroad,"[""crossroad"", ""intersection""]","[""crossing""]",Noun,6,"[""JLPT N4"", ""place""]"
信号,しんごう,shingō,traffic light,"[""traffic light"", ""signal""]","[""stoplight""]",Noun,5,"[""JLPT N5"", ""traffic""]"
角,かど,kado,corner,"[""corner""]","[""intersection""]",Noun,5,"[""JLPT N5"", ""place""]"
橋,はし,hashi,bridge,"[""bridge""]","[""overpass""]",Noun,5,"[""JLPT N5"", ""place""]"
駐車場,ちゅうしゃじょう,chūshajō,parking lot,"[""parking lot"", ""car park""]","[""parking area""]",Noun,6,"[""JLPT N4"", ""place""]"
一目,いちもく,ichimoku,the -th,"[""the -th (order)""]","[""first, second, etc.""]",Counter,7,"[""JLPT N4"", ""counter""]"
[お]正月,[お]しょうがつ,[o]shōgatsu,New Year's Day,"[""New Year's Day""]","[""New Year""]",Noun,5,"[""JLPT N5"", ""culture"", ""festival""]"
ごちそうさまでした,ごちそうさまでした,Gochisōsama deshita,That was delicious,"[""That was delicious""]","[""Thank you for the meal""]",Phrase,5,"[""JLPT N5"", ""polite"", ""food""]"
建物,たてもの,tatemono,building,"[""building"", ""structure""]","[""edifice""]",Noun,5,"[""JLPT N5"", ""place""]"
外国人登録証,がいこくじんとうろくしょう,gaikokujin tōrokushō,alien registration card,"[""alien registration card""]","[""residence card""]",Noun,7,"[""JLPT N4"", ""official""]"
聖徳太子,しょうとくたいし,Shōtoku Taishi,Prince Shotoku,"[""Prince Shotoku""]","[""Prince Shotoku (574-622)""]",Proper Noun,8,"[""JLPT N4"", ""history""]"
法隆寺,ほうりゅうじ,Hōryūji,Horyuji Temple,"[""Horyuji Temple""]","[""Temple in Nara""]",Proper Noun,8,"[""JLPT N4"", ""culture"", ""history""]"
元気茶,げんきちゃ,Genki-cha,Genki Tea,"[""fictitious tea""]","[""energy tea""]",Proper Noun,7,"[""JLPT N4"", ""fictitious""]"
本田駅,ほんだえき,Honda eki,Honda Station,"[""fictitious station""]","[""Honda Station""]",Proper Noun,7,"[""JLPT N4"", ""fictitious""]"
図書館前,としょかんまえ,Toshokan mae,In front of the library,"[""fictitious bus stop""]","[""Library Front""]",Proper Noun,7,"[""JLPT N4"", ""fictitious""]"
