kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
ハンサムな,ハンサムな,hansamu_na,handsome,"[""handsome"",""good-looking""]","[""かっこいい""]",na_adjective,1,"[""appearance""]"
きれいな,きれいな,kirei_na,beautiful,"[""beautiful"",""clean"",""pretty""]","[""美しい""]",na_adjective,1,"[""appearance""]"
静かな,しずかな,shizuka_na,quiet,"[""quiet"",""silent"",""calm""]",[],na_adjective,1,"[""personality"",""place""]"
にぎやかな,にぎやかな,nigiyaka_na,lively,"[""lively"",""busy"",""crowded""]","[""活気がある""]",na_adjective,2,"[""place"",""atmosphere""]"
有名な,ゆうめいな,yuumei_na,famous,"[""famous"",""well-known""]","[""著名な""]",na_adjective,1,"[""people"",""place""]"
親切な,しんせつな,shinsetsu_na,kind,"[""kind"",""kind-hearted""]","[""優しい""]",na_adjective,1,"[""personality""]"
元気な,げんきな,genki_na,healthy,"[""healthy"",""well"",""energetic"",""cheerful""]","[""活発な""]",na_adjective,1,"[""health"",""personality""]"
暇な,ひまな,hima_na,free,"[""free"",""not busy"",""having free time""]",[],na_adjective,1,"[""time"",""daily_life""]"
便利な,べんりな,benri_na,convenient,"[""convenient"",""useful""]",[],na_adjective,1,"[""daily_life""]"
素敵な,すてきな,suteki_na,wonderful,"[""wonderful"",""lovely"",""nice""]","[""すばらしい""]",na_adjective,2,"[""emotion"",""appearance""]"
大きい,おおきい,ookii,big,"[""big"",""large""]","[""巨大な""]",i_adjective,1,"[""size""]"
小さい,ちいさい,chiisai,small,"[""small"",""little""]",[],i_adjective,1,"[""size""]"
新しい,あたらしい,atarashii,new,"[""new"",""fresh""]",[],i_adjective,1,"[""time"",""objects""]"
古い,ふるい,furui,old,"[""old"",""aged"",""used""]",[],i_adjective,1,"[""time"",""objects""]"
良い,いい,ii,good,"[""good"",""nice"",""fine""]","[""よい""]",i_adjective,1,"[""evaluation""]"
悪い,わるい,warui,bad,"[""bad"",""poor"",""wrong""]",[],i_adjective,1,"[""evaluation""]"
暑い,あつい,atsui,hot weather,"[""hot"",""hot weather""]",[],i_adjective,1,"[""weather""]"
寒い,さむい,samui,cold weather,"[""cold"",""cold weather""]",[],i_adjective,1,"[""weather""]"
冷たい,つめたい,tsumetai,cold to touch,"[""cold"",""cold to touch"",""icy""]",[],i_adjective,2,"[""temperature""]"
難しい,むずかしい,muzukashii,difficult,"[""difficult"",""hard""]","[""困難な""]",i_adjective,1,"[""study"",""evaluation""]"
易しい,やさしい,yasashii,easy,"[""easy"",""simple""]","[""簡単な""]",i_adjective,1,"[""study"",""evaluation""]"
高い,たかい,takai,expensive,"[""expensive"",""high"",""tall""]",[],i_adjective,1,"[""money"",""size""]"
安い,やすい,yasui,cheap,"[""cheap"",""inexpensive""]",[],i_adjective,1,"[""money""]"
低い,ひくい,hikui,low,"[""low"",""short""]",[],i_adjective,1,"[""size""]"
面白い,おもしろい,omoshiroi,interesting,"[""interesting"",""funny""]",[],i_adjective,1,"[""emotion"",""media""]"
忙しい,いそがしい,isogashii,busy,"[""busy"",""occupied""]",[],i_adjective,1,"[""daily_life"",""work""]"
楽しい,たのしい,tanoshii,enjoyable,"[""enjoyable"",""fun"",""pleasant""]",[],i_adjective,1,"[""emotion""]"
白い,しろい,shiroi,white,"[""white""]",[],i_adjective,1,"[""color""]"
黒い,くろい,kuroi,black,"[""black""]",[],i_adjective,1,"[""color""]"
赤い,あかい,akai,red,"[""red""]",[],i_adjective,1,"[""color""]"
青い,あおい,aoi,blue,"[""blue"",""green""]",[],i_adjective,1,"[""color""]"
桜,さくら,sakura,cherry blossom,"[""cherry blossom"",""sakura""]",[],noun,1,"[""nature"",""plants""]"
山,やま,yama,mountain,"[""mountain"",""hill""]",[],noun,1,"[""nature"",""place""]"
町,まち,machi,town,"[""town"",""city""]",[],noun,1,"[""place""]"
食べ物,たべもの,tabemono,food,"[""food"",""things to eat""]",[],noun,1,"[""food""]"
車,くるま,kuruma,car,"[""car"",""vehicle"",""automobile""]","[""自動車""]",noun,1,"[""transport""]"
所,ところ,tokoro,place,"[""place"",""spot""]",[],noun,1,"[""place""]"
寮,りょう,ryou,dormitory,"[""dormitory"",""hostel""]",[],noun,2,"[""school"",""housing""]"
勉強,べんきょう,benkyou,study,"[""study"",""learning""]","[""学習""]",noun,1,"[""study""]"
生活,せいかつ,seikatsu,life,"[""life"",""daily life"",""living""]",[],noun,1,"[""daily_life""]"
仕事,しごと,shigoto,work,"[""work"",""job"",""occupation"",""business""]","[""職業""]",noun,1,"[""work""]"
どう,どう,dou,how,"[""how"",""in what way""]",[],interrogative,1,"[""question_words""]"
どんな～,どんな～,donna,what kind of,"[""what kind of~"",""what sort of~""]",[],prenoun_adjective,1,"[""question_words"",""grammar""]"
どれ,どれ,dore,which,"[""which"",""which one""]",[],pronoun,1,"[""question_words""]"
とても,とても,totemo,very,"[""very"",""extremely""]",[],adverb,1,"[""degree""]"
あまり,あまり,amari,not so much,"[""not so much"",""not very""]",[],adverb,2,"[""degree"",""grammar""]"
そして,そして,soshite,and then,"[""and"",""and then""]",[],conjunction,1,"[""grammar"",""conversation""]"
～が～,～が～,~ga~,but,"[""but"",""however""]",[],conjunction,2,"[""grammar""]"
お元気ですか,おげんきですか,ogenki_desu_ka,how are you,"[""how are you"",""are you well?""]",[],expression,1,"[""greetings""]"
そうですね,そうですね,sou_desu_ne,let me see,"[""let me see"",""well"",""that's right""]",[],expression,1,"[""conversation""]"
日本の生活に慣れましたか,にほんのせいかつになれましたか,nihon_no_seikatsu_ni_naremashita_ka,got used to life in Japan,"[""have you gotten used to life in Japan?""]",[],expression,3,"[""conversation"",""daily_life""]"
もう一杯いかがですか,もういっぱいいかがですか,mou_ippai_ikaga_desu_ka,another cup,"[""would you like another cup?""]",[],expression,2,"[""food"",""polite""]"
いいえ、まだです,いいえ、まだです,iie_mada_desu,not yet,"[""not yet""]",[],expression,1,"[""conversation""]"
そろそろ失礼します,そろそろしつれいします,sorosoro_shitsurei_shimasu,I should leave soon,"[""it's almost time to leave"",""I should be going""]",[],expression,3,"[""farewell"",""polite""]"
またいらしてください,またいらしてください,mata_irashite_kudasai,please come again,"[""please come again"",""visit again""]",[],expression,2,"[""hospitality"",""polite""]"
富士山,ふじさん,fujisan,Mount Fuji,"[""Mount Fuji""]",[],proper_noun,1,"[""place"",""mountain""]"
琵琶湖,びわこ,biwako,Lake Biwa,"[""Lake Biwa""]",[],proper_noun,2,"[""place"",""lake""]"
七人の侍,しちにんのさむらい,shichinin_no_samurai,Seven Samurai,"[""Seven Samurai""]",[],proper_noun,2,"[""movie"",""culture""]"
金閣寺,きんかくじ,kinkakuji,Kinkakuji Temple,"[""Kinkakuji Temple"",""Golden Pavilion""]",[],proper_noun,2,"[""place"",""temple""]"
