kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
包みます,つつみます,tsutsumimasu,wrap,"[""wrap"",""cover"",""pack""]","[""包む""]",verb_group_1,2,"[""action""]"
沸かします,わかします,wakashimasu,boil,"[""boil"",""heat water""]","[""加熱する""]",verb_group_1,2,"[""cooking""]"
混ぜます,まぜます,mazemasu,mix,"[""mix"",""blend""]","[""合わせる""]",verb_group_2,1,"[""cooking""]"
計算します,けいさんします,keisan shimasu,calculate,"[""calculate"",""compute""]","[""計る""]",suru_verb,2,"[""math""]"
厚い,あつい,atsui,thick,"[""thick""]","[""分厚い""]",i_adjective,1,"[""description""]"
薄い,うすい,usui,thin,"[""thin"",""light""]","[""細い""]",i_adjective,1,"[""description""]"
弁護士,べんごし,bengoshi,lawyer,"[""lawyer"",""attorney""]","[""法律家""]",noun,2,"[""profession""]"
音楽家,おんがくか,ongakuka,musician,"[""musician""]","[""音楽者""]",noun,2,"[""profession""]"
子どもたち,こどもたち,kodomotachi,children,"[""children"",""kids""]","[""子供""]",noun,1,"[""people""]"
二人,ふたり,futari,two people,"[""two people"",""couple""]","[""ペア""]",noun,1,"[""counting""]"
教育,きょういく,kyouiku,education,"[""education""]","[""学習""]",noun,2,"[""society""]"
歴史,れきし,rekishi,history,"[""history""]","[""過去""]",noun,2,"[""society""]"
文化,ぶんか,bunka,culture,"[""culture""]","[""伝統""]",noun,2,"[""society""]"
社会,しゃかい,shakai,society,"[""society""]","[""世の中""]",noun,2,"[""society""]"
法律,ほうりつ,houritsu,law,"[""law""]","[""規則""]",noun,2,"[""society""]"
戦争,せんそう,sensou,war,"[""war""]","[""戦い""]",noun,2,"[""history""]"
平和,へいわ,heiwa,peace,"[""peace""]","[""安定""]",noun,1,"[""society""]"
目的,もくてき,mokuteki,purpose,"[""purpose"",""goal""]","[""目標""]",noun,2,"[""abstract""]"
安全,あんぜん,anzen,safety,"[""safety"",""security""]","[""安心""]",noun,2,"[""condition""]"
論文,ろんぶん,ronbun,thesis,"[""thesis"",""academic paper""]","[""レポート""]",noun,3,"[""education""]"
関係,かんけい,kankei,relation,"[""relation"",""connection""]","[""関連""]",noun,2,"[""abstract""]"
ミキサー,ミキサー,mikisaa,mixer,"[""mixer"",""blender""]","[""ブレンダー""]",noun,1,"[""kitchen""]"
やかん,やかん,yakan,kettle,"[""kettle""]","[""ポット""]",noun,1,"[""kitchen""]"
栓抜き,せんぬき,sennuki,bottle opener,"[""bottle opener"",""cap opener""]","[""オープナー""]",noun,2,"[""tool""]"
缶切り,かんきり,kankiri,can opener,"[""can opener""]","[""オープナー""]",noun,2,"[""tool""]"
缶詰,かんづめ,kanzume,canned food,"[""canned food"",""tinned food""]","[""保存食""]",noun,2,"[""food""]"
風呂敷,ふろしき,furoshiki,wrapping cloth,"[""wrapping cloth"",""carrying cloth""]","[""布""]",noun,3,"[""culture""]"
