kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
咲きます,さきます,sakimasu,bloom,"[""flowers bloom""]","[""flower""]",verb (Group 1),2,"[""lesson35"",""nature""]"
変わります,かわります,kawarimasu,change,"[""color changes""]","[""alter""]",verb (Group 1),2,"[""lesson35"",""verbs""]"
困ります,こまります,komarimasu,"be in trouble, have a problem","[""be troubled""]","[""have difficulty""]",verb (Group 1),2,"[""lesson35"",""verbs""]"
付けます,つけます,tsukemasu,"draw [a circle], mark [with a circle]","[""mark""]","[""circle""]",verb (Group 2),2,"[""lesson35"",""study""]"
拾います,ひろいます,hiroimasu,pick up,"[""gather""]","[""collect""]",verb (Group 1),2,"[""lesson35"",""verbs""]"
かかります,かかります,kakarimasu,get through [on the telephone],"[""have a phone call""]","[""connect""]",verb (Group 1),3,"[""lesson35"",""communication""]"
楽[な],らく[な],raku [na],"comfortable, easy","[""simple""]","[""comfortable""]",na-adjective,2,"[""lesson35"",""adjectives""]"
正しい,ただしい,tadashii,"correct, right","[""accurate""]","[""proper""]",i-adjective,2,"[""lesson35"",""adjectives""]"
珍しい,めずらしい,mezurashii,"rare, uncommon","[""unusual""]","[""unique""]",i-adjective,3,"[""lesson35"",""adjectives""]"
方,かた,kata,person (respectful equivalent of ひと),"[""person""]","[""individual""]",noun,2,"[""lesson35"",""people""]"
向こう,むこう,mukou,"over there, the other side","[""opposite side""]","[""beyond""]",noun,2,"[""lesson35"",""location""]"
島,しま,shima,island,"[""isolated land""]","[""isle""]",noun,1,"[""lesson35"",""nature""]"
村,むら,mura,village,"[""rural village""]","[""hamlet""]",noun,2,"[""lesson35"",""places""]"
港,みなと,minato,"port, harbor","[""dock""]","[""harbor""]",noun,2,"[""lesson35"",""places""]"
近所,きんじょ,kinjo,"neighborhood, vicinity","[""nearby area""]","[""surroundings""]",noun,2,"[""lesson35"",""places""]"
屋上,おくじょう,okujou,rooftop,"[""roof area""]","[""roof""]",noun,2,"[""lesson35"",""places""]"
海外,かいがい,kaigai,overseas,"[""abroad""]","[""foreign countries""]",noun,2,"[""lesson35"",""travel""]"
山登り,やまのぼり,yamanobori,mountain climbing,"[""climbing mountains""]","[""hiking mountains""]",noun,3,"[""lesson35"",""sports""]"
ハイキング,はいきんぐ,haikingu,hiking,"[""trekking""]","[""walking trip""]",noun,1,"[""lesson35"",""sports""]"
機会,きかい,kikai,"chance, opportunity","[""occasion""]","[""opportunity""]",noun,2,"[""lesson35"",""daily-life""]"
許可,きょか,kyoka,permission,"[""approval""]","[""consent""]",noun,2,"[""lesson35"",""rules""]"
丸,まる,maru,circle,"[""round shape""]","[""ring""]",noun,1,"[""lesson35"",""shapes""]"
操作,そうさ,sousa,operation,"[""handling""]","[""control""]",noun,3,"[""lesson35"",""technology""]"
方法,ほうほう,houhou,method,"[""way""]","[""procedure""]",noun,2,"[""lesson35"",""general""]"
設備,せつび,setsubi,"equipment, facilities","[""facilities""]","[""installation""]",noun,3,"[""lesson35"",""business""]"
カーテン,かーてん,kaaten,curtain,"[""window curtain""]","[""drape""]",noun,1,"[""lesson35"",""house""]"
ひも,ひも,himo,string,"[""cord""]","[""rope""]",noun,1,"[""lesson35"",""objects""]"
ふた,ふた,futa,"lid, cover, cap","[""cover""]","[""top""]",noun,1,"[""lesson35"",""objects""]"
葉,は,ha,leaf,"[""plant leaf""]","[""foliage""]",noun,1,"[""lesson35"",""nature""]"
曲,きょく,kyoku,a piece of music,"[""song""]","[""musical composition""]",noun,2,"[""lesson35"",""music""]"
楽しみ,たのしみ,tanoshimi,"pleasure, enjoyment, expectation","[""fun""]","[""anticipation""]",noun,2,"[""lesson35"",""feelings""]"
初めに,はじめに,hajime ni,first,"[""at first""]","[""in the beginning""]",adverb,2,"[""lesson35"",""grammar""]"
もっと,もっと,motto,more,"[""further""]","[""additional""]",adverb,1,"[""lesson35"",""adverbs""]"
これで終わります,これでおわります,kore de owarimasu,We'll finish now.,"[""finish here""]","[""end now""]",expression,2,"[""lesson35"",""expressions""]"
箱根,はこね,hakone,Hakone,"[""resort in Kanagawa Prefecture""]","[""tourist resort""]",proper noun,3,"[""lesson35"",""places""]"
日光,にっこう,nikkou,Nikko,"[""tourist spot in Tochigi Prefecture""]","[""tourist area""]",proper noun,3,"[""lesson35"",""places""]"
白馬,はくば,hakuba,Hakuba,"[""resort in Nagano Prefecture""]","[""ski resort""]",proper noun,3,"[""lesson35"",""places""]"
アフリカ,あふりか,Afurika,Africa,"[""African continent""]","[""Africa""]",proper noun,1,"[""lesson35"",""places""]"
それなら,それなら,sorenara,in that case,"[""if so""]","[""then""]",expression,1,"[""lesson35"",""expressions""]"
夜行バス,やこうばす,yakou basu,night bus,"[""overnight bus""]","[""late-night bus""]",noun,2,"[""lesson35"",""travel""]"
旅行社,りょこうしゃ,ryokousha,travel agency,"[""tour company""]","[""travel office""]",noun,2,"[""lesson35"",""travel""]"
