kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
育てます,そだてます,sodatemasu,breed,"[""breed"",""bring up"",""raise""]","[""教育する"",""栽培する""]",verb_group_2,2,"[""action"",""transitive""]"
運びます,はこびます,hakobimasu,carry,"[""carry"",""transport""]","[""搬送する""]",verb_group_1,2,"[""action"",""transitive""]"
亡くなります,なくなります,nakunaremasu,pass away,"[""pass away"",""die""]","[""死去する""]",verb_group_1,2,"[""abstract"",""intransitive""]"
入院します,にゅういんします,nyuuinhimasu,enter hospital,"[""enter hospital""]","[""医者にかかる""]",verb_group_3,2,"[""medical"",""action""]"
退院します,たいいんします,taiinhimasu,leave hospital,"[""leave hospital""]","[""全快する""]",verb_group_3,2,"[""medical"",""action""]"
入れます,いれます,iremasu,turn on,"[""turn on"",""turn on the power switch""]","[""点ける""]",verb_group_2,1,"[""action"",""transitive""]"
切ります,きります,kirimasu,turn off,"[""turn off"",""turn off the power switch""]","[""消す""]",verb_group_1,1,"[""action"",""transitive""]"
掛けます,かけます,kakemasu,lock,"[""lock"",""apply a lock""]","[""施錠する""]",verb_group_2,2,"[""action"",""transitive""]"
気持ちがいい,きもちがいい,kimochi ga ii,pleasant,"[""pleasant"",""agreeable""]","[""快適""]",phrase,1,"[""description"",""emotion""]"
気持ちが悪い,きもちがわるい,kimochi ga warui,unpleasant,"[""unpleasant"",""disgusting""]","[""不快""]",phrase,1,"[""description"",""emotion""]"
大きな～,おおきな～,ookina~,large,"[""large"",""big""]","[""大きい""]",pre-noun_adjective,1,"[""description""]"
小さな～,ちいさな～,chiisana~,small,"[""small"",""little""]","[""小さい""]",pre-noun_adjective,1,"[""description""]"
赤ちゃん,あかちゃん,akachan,baby,"[""baby"",""infant""]","[""乳幼児""]",noun,1,"[""people""]"
小学校,しょうがっこう,shougatkou,elementary school,"[""elementary school""]","[""初等学校""]",noun,1,"[""place"",""education""]"
中学校,ちゅうがっこう,chuugatkou,junior high school,"[""junior high school""]","[""中等学校""]",noun,1,"[""place"",""education""]"
駅前,えきまえ,ekimae,station front,"[""the area in front of the station""]","[""駅の周辺""]",noun,2,"[""location""]"
海岸,かいがん,kaigan,seaside,"[""seaside"",""seashore"",""coast""]","[""浜辺""]",noun,2,"[""nature"",""location""]"
うそ,うそ,uso,lie,"[""lie"",""fib""]","[""虚偽""]",noun,1,"[""communication""]"
書類,しょるい,shorui,document,"[""document"",""papers""]","[""文書""]",noun,2,"[""objects"",""business""]"
電源,でんげん,dengen,power switch,"[""power switch"",""source of electricity""]","[""プラグ""]",noun,2,"[""objects"",""electricity""]"
～製,～せい,~sei,made in ~,"[""made in ~"",""manufactured by ""]","[""～産""]",suffix,2,"[""production""]"
［あ、］いけない。,あ、いけない,"a, ikenai",Oops!,"[""Oops!"",""Oh, no!""]","[""しまった""]",phrase,1,"[""expression""]"
お先に,おさきに,osaki ni,Excuse me,"[""Excuse me ,""(for leaving before you)"",""ahead""]","[""お先に失礼します""]",phrase,1,"[""expression"",""polite""]"
原爆ドーム,げんばくドーム,Genbaku Doomu,Atomic Bomb Dome,"[""Atomic Bomb Dome"",""dome commemorating the atomic bombing""]","[""広島平和記念碑""]",proper_noun,2,"[""location"",""history""]"
回覧,かいらん,kairan,circular,"[""circular"",""sending round""]","[""回報""]",noun,2,"[""communication"",""business""]"
研究室,けんきゅうしつ,kenkyuushitsu,study room,"[""study room"",""professor's office"",""laboratory""]","[""ラボ""]",noun,2,"[""place"",""education""]"
きちんと,きちんと,kichinto,neatly,"[""neatly"",""tidily"",""accurately""]","[""正確に"",""ちゃんと""]",adverb,2,"[""description""]"
整理します,せいりします,seirishimasu,put in order,"[""put things in order"",""tidy up""]","[""片付ける""]",verb_group_3,2,"[""action""]"
～という～,～という～,~to iu~,titled,"[""the book titled ~"",""named ~""]","[""～という名の""]",particle,2,"[""grammar""]"
［一］冊,いっさつ,issatsu,counter for books,"[""counter for books"",""one volume""]","[""一巻""]",counter,2,"[""grammar"",""quantity""]"
はんこ,はんこ,hanko,seal,"[""seal"",""stamp""]","[""印鑑""]",noun,1,"[""objects"",""daily_life""]"
押します,おします,oshimasu,affix,"[""affix "",""a seal"",""press"",""push""]","[""捺印する""]",verb_group_1,2,"[""action"",""transitive""]"
双子,ふたご,futago,twins,"[""twins""]","[""二生児""]",noun,2,"[""people"",""family""]"
姉妹,しまい,shimai,sisters,"[""sisters""]","[""女兄弟""]",noun,1,"[""people"",""family""]"
５年生,ごねんせい,gounensei,fifth grade,"[""fifth grade"",""fifth year ""]","[""五回生""]",noun,1,"[""people"",""education"" ]"
似ています,にています,niteimasu,resemble,"[""resemble"",""be like""]","[""類似する""]",verb_group_2,2,"[""description""]"
性格,せいかく,seikaku,character,"[""character"",""personality""]","[""気質""]",noun,2,"[""personality"",""abstract""]"
おとなしい,おとなしい,otonashii,quiet,"[""quiet"",""gentle"",""obedient""]","[""控えめ""]",i_adjective,2,"[""personality""]"
世話をします,せわをします,sewa o shimasu,take care,"[""take care"",""look after""]","[""面倒を見る""]",verb_group_3,2,"[""action""]"
時間がたちます,じかんがたちます,jikan ga tachimasu,time pass by,"[""time passes by"",""time elapses""]","[""経過する""]",verb_group_1,2,"[""time"",""intransitive""]"
大好き［な］,だいすき,daisuki,like very much,"[""like very much"",""fond of""]","[""大好物""]",na_adjective,1,"[""emotion""]"
［一］点,いってん,itten,points,"[""points"",""one point""]","[""一得点""]",counter,2,"[""quantity""]"
クラス,くらす,kurasu,class,"[""class""]","[""学級""]",noun,1,"[""education""]"
けんかします,けんかします,kenkashimasu,quarrel,"[""quarrel"",""fight""]","[""争う""]",verb_group_3,1,"[""action"",""communication""]"
不思議［な］,ふしぎ,fushigi,mysterious,"[""mysterious"",""strange"",""wonderful""]","[""奇妙""]",na_adjective,2,"[""description""]"
