kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
増えます,ふえます,fuemasu,increase,"[""increase"",""go up"",""grow""]","[""増加する""]",verb_group_2,2,"[""quantity"",""exports""]"
減ります,へります,herimasu,decrease,"[""decrease"",""reduce"",""go down""]","[""減少する""]",verb_group_1,2,"[""quantity"",""exports""]"
上がります,あがります,agarimasu,rise,"[""rise"",""go up"",""increase (price)""]","[""上昇する""]",verb_group_1,2,"[""price""]"
下がります,さがります,sagarimasu,fall,"[""fall"",""drop"",""decrease (price)""]","[""下降する""]",verb_group_1,2,"[""price""]"
切れます,きれます,kiremasu,break,"[""break"",""snap"",""be cut""]","[""壊れる""]",verb_group_2,3,"[""object"",""string""]"
取れます,とれます,toremasu,come off,"[""come off"",""fall off"",""detach""]","[""外れる""]",verb_group_2,3,"[""object"",""button""]"
落ちます,おちます,ochimasu,fall down,"[""fall"",""drop"",""come down""]","[""落下する""]",verb_group_2,2,"[""movement"",""baggage""]"
なくなります,なくなります,nakunarimasu,run out,"[""run out"",""be lost"",""disappear""]","[""消える""]",verb_group_1,2,"[""fuel"",""loss""]"
丈夫,じょうぶ,joubu,strong,"[""strong"",""healthy"",""durable""]","[""頑丈""]",na_adjective,2,"[""health""]"
変,へん,hen,strange,"[""strange"",""peculiar"",""odd""]","[""おかしい""]",na_adjective,2,"[""feeling""]"
幸せ,しあわせ,shiawase,happy,"[""happy"",""fortunate"",""blessed""]","[""幸福""]",na_adjective,2,"[""emotion""]"
うまい,うまい,umai,tasty,"[""tasty"",""delicious"",""skilled""]","[""おいしい"",""上手""]",i_adjective,2,"[""food"",""skill""]"
まずい,まずい,mazui,not tasty,"[""not tasty"",""bad"",""unpleasant""]","[""おいしくない""]",i_adjective,1,"[""food""]"
つまらない,つまらない,tsumaranai,boring,"[""boring"",""uninteresting"",""dull""]","[""面白くない""]",i_adjective,1,"[""feeling""]"
ガソリン,ガソリン,gasorin,gasoline,"[""gasoline"",""petrol""]","[""燃料""]",noun,1,"[""fuel""]"
火,ひ,hi,fire,"[""fire"",""flame""]","[""炎""]",noun,1,"[""nature""]"
暖房,だんぼう,danbou,heating,"[""heating"",""heater""]","[""ヒーター""]",noun,2,"[""house""]"
冷房,れいぼう,reibou,air conditioning,"[""air conditioning"",""cooling""]","[""エアコン""]",noun,2,"[""house""]"
センス,センス,sensu,sense,"[""sense"",""taste"",""good judgment"",""style""]","[""感覚""]",noun,2,"[""ability"",""fashion""]"
今にも,いまにも,imani mo,at any moment,"[""at any moment"",""any second"",""about to""]","[""すぐに""]",adverb,3,"[""time"",""situation""]"
—,わあ,waa,wow,"[""wow"",""oh"",""surprise""]","[""おお""]",interjection,1,"[""emotion""]"
会員,かいいん,kaiin,member,"[""member"",""club member""]","[""メンバー""]",noun,2,"[""people"",""organization""]"
適当,てきとう,tekitou,suitable,"[""suitable"",""proper"",""appropriate""]","[""適切""]",na_adjective,3,"[""evaluation""]"
年齢,ねんれい,nenrei,age,"[""age""]","[""歳""]",noun,2,"[""personal_info""]"
収入,しゅうにゅう,shuunyuu,income,"[""income"",""earnings""]","[""給料""]",noun,2,"[""money""]"
ぴったり,ぴったり,pittari,exactly,"[""exactly"",""perfectly"",""just right""]","[""ちょうど""]",adverb,2,"[""degree""]"
そのうえ,そのうえ,sonoue,moreover,"[""moreover"",""in addition"",""furthermore""]","[""さらに""]",conjunction,3,"[""grammar""]"
～といいます,～といいます,~to iimasu,called,"[""called"",""known as"",""one’s name is""]","[""～と呼ぶ""]",expression,2,"[""grammar"",""introduction""]"
ばら,ばら,bara,rose,"[""rose""]","[""花""]",noun,1,"[""nature""]"
ドライブ,ドライブ,doraibu,driving,"[""driving"",""drive""]","[""運転""]",noun,1,"[""activity""]"
