kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
焼きます,やきます,yakimasu,bake,"[""bake"",""grill"",""roast""]","[""焼く""]",verb_group_1,1,"[""cooking""]"
渡します,わたします,watashimasu,hand over,"[""hand over"",""pass"",""give""]","[""渡す""]",verb_group_1,1,"[""action""]"
帰って来ます,かえってきます,kaette kimasu,come back,"[""come back"",""return""]","[""戻る""]",verb_group_3,2,"[""movement""]"
出ます,でます,demasu,depart,"[""leave"",""depart"",""go out""]","[""出る""]",verb_group_2,1,"[""transport"",""bus""]"
留守,るす,rusu,absence,"[""absence"",""not at home""]","[""不在""]",noun,2,"[""home""]"
宅配便,たくはいびん,takuhaibin,delivery service,"[""delivery service"",""home delivery""]","[""配達""]",noun,2,"[""service""]"
原因,げんいん,genin,cause,"[""cause"",""origin""]","[""理由""]",noun,2,"[""abstract""]"
注射,ちゅうしゃ,chuusha,injection,"[""injection"",""shot""]","[""注入""]",noun,2,"[""medical""]"
食欲,しょくよく,shokuyoku,appetite,"[""appetite""]","[""食べたい気持ち""]",noun,2,"[""health""]"
パンフレット,パンフレット,panfuretto,pamphlet,"[""pamphlet"",""brochure""]",[],noun,1,"[""document""]"
ステレオ,ステレオ,sutereo,stereo,"[""stereo"",""audio system""]",[],noun,1,"[""device""]"
こちら,こちら,kochira,my side,"[""my place"",""this side"",""this way""]","[""ここ""]",pronoun,2,"[""location""]"
～の所,～のところ,~no tokoro,the place around,"[""the place around ~"",""about ~""]",[],expression,3,"[""grammar""]"
ちょうど,ちょうど,choudo,exactly,"[""just"",""exactly"",""right""]","[""ぴったり""]",adverb,1,"[""degree""]"
たった今,たったいま,tatta ima,just now,"[""just now"",""a moment ago""]","[""今さっき""]",adverb,2,"[""time""]"
今いいでしょうか,いまいいでしょうか,ima ii deshou ka,may I bother you now,"[""may I bother you now""]",[],expression,2,"[""polite""]"
ガスサービスセンター,ガスサービスセンター,gasu saabisu sentaa,gas service center,"[""gas service center""]",[],noun,2,"[""facility""]"
ガスレンジ,ガスレンジ,gasu renji,gas range,"[""gas range"",""gas cooker""]",[],noun,1,"[""kitchen""]"
具合,ぐあい,guai,condition,"[""condition"",""state"",""health""]","[""様子""]",noun,2,"[""state""]"
どちら様でしょうか,どちらさまでしょうか,dochira sama deshou ka,"who is this,please?","[""who is this, please""]",[],expression,3,"[""polite""]"
向かいます,むかいます,mukaimasu,head for,"[""head for"",""go toward""]","[""向かう""]",verb_group_1,2,"[""movement""]"
お待たせしました,おまたせしました,omatase shimashita,sorry to keep waiting,"[""sorry to have kept you waiting""]",[],expression,2,"[""polite""]"
知識,ちしき,chishiki,knowledge,"[""knowledge""]","[""知ること""]",noun,2,"[""education""]"
宝庫,ほうこ,houko,treasury,"[""treasury"",""storehouse""]","[""倉庫""]",noun,3,"[""abstract""]"
手に入ります,てにはいります,te ni hairimasu,"[information]come in,reach","[""obtain"",""come into one's hands"",""receive""]","[""得る""]",verb_group_1,2,"[""result"",""information""]"
システム,システム,shisutemu,system,"[""system""]",[],noun,1,"[""tech""]"
例えば,たとえば,tatoeba,for example,"[""for example""]","[""例""]",adverb,1,"[""grammar""]"
キーワード,キーワード,kiiwaado,keyword,"[""keyword""]",[],noun,1,"[""tech""]"
一部分,いちぶぶん,ichibubun,one part,"[""one part"",""a portion""]","[""部分""]",noun,2,"[""structure""]"
入力します,にゅうりょくします,nyuuryoku shimasu,input,"[""input"",""enter data""]","[""入力する""]",suru_verb,2,"[""tech""]"
秒,びょう,byou,second,"[""second (time)""]",[],noun,1,"[""time""]"
出ます,でます,demasu,be published,"[""be published"",""appear""]","[""発表される""]",verb_group_2,2,"[""book""]"
