kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
売れます,うれます,uremasu,sell,"[""sell"",""be sold""]","[""売却される""]",verb_group_2,2,"[""business"",""action""]"
踊ります,おどります,odorimasu,dance,"[""dance""]","[""舞う""]",verb_group_1,2,"[""action"",""art""]"
かみます,かみます,kamimasu,chew,"[""chew"",""bite""]","[""咀嚼する""]",verb_group_1,2,"[""daily_life"",""action""]"
選びます,えらびます,erabimasu,choose,"[""choose"",""select""]","[""選択する""]",verb_group_1,2,"[""action""]"
違います,ちがいます,chigaimasu,be different,"[""be different"",""differ""]","[""異なる""]",verb_group_1,2,"[""description""]"
通います,かよいます,kayoimasu,go to and from,"[""go to and from"",""commute""]","[""通勤する"",""通学する""]",verb_group_1,2,"[""movement"",""daily_life""]"
メモします,めもします,memoshimasu,take a memo,"[""take a memo"",""take notes""]","[""書き留める""]",verb_group_3,1,"[""action"",""work""]"
まじめ,まじめ,majime,serious,"[""serious"",""earnest"",""honest""]","[""真面目""]",na_adjective,2,"[""personality""]"
優しい,,,,,,,,
熱心,ねっしん,nesshin,earnest,"[""earnest"",""enthusiastic""]","[""熱中""]",na_adjective,2,"[""personality""]"
ちょうどいい,,,,,,,,
優しい,やさしい,yasashii,gentle,"[""gentle"",""kind""]","[""親切""]",i_adjective,1,"[""personality""]"
偉い,えらい,erai,great,"[""great"",""admirable""]","[""優秀""]",i_adjective,2,"[""personality""]"
ちょうどいい,ちょうどいい,choudouii,proper,"[""proper"",""just right"",""convenient""]","[""適当""]",i_adjective,1,"[""description""]"
習慣,しゅうかん,shuukan,custom,"[""custom"",""habit""]","[""しきたり""]",noun,2,"[""culture"",""daily_life""]"
経験,けいけん,keiken,experience,"[""experience""]","[""体験""]",noun,2,"[""abstract""]"
力,ちから,chikara,power,"[""power"",""strength"",""ability""]","[""能力""]",noun,1,"[""abstract""]"
人気,にんき,ninki,popularity,"[""popularity""]","[""評判""]",noun,2,"[""abstract""]"
形,かたち,katachi,form,"[""form"",""shape""]","[""姿""]",noun,1,"[""description""]"
色,いろ,iro,color,"[""color""]","[""色彩""]",noun,1,"[""description""]"
味,あじ,aji,taste,"[""taste"",""flavor""]","[""風味""]",noun,1,"[""food""]"
ガム,がむ,gamu,chewing gum,"[""chewing gum"",""gum""]","[""チューインガム""]",noun,1,"[""food""]"
品物,しなもの,shinamono,goods,"[""goods"",""article"",""item""]","[""商品""]",noun,2,"[""shopping""]"
値段,ねだん,nedan,price,"[""price"",""cost""]","[""価格""]",noun,1,"[""shopping""]"
給料,きゅうりょう,kyuuryou,salary,"[""salary"",""wages""]","[""月給""]",noun,2,"[""work"",""business""]"
ボーナス,ぼーなす,boonasu,bonus,"[""bonus""]","[""賞与""]",noun,1,"[""work"",""business""]"
番組,ばんぐみ,bangumi,program,"[""program"",""tv show""]","[""放送""]",noun,2,"[""media""]"
ドラマ,どらま,dorama,drama,"[""drama"",""soap opera""]","[""劇""]",noun,1,"[""media""]"
小説,しょうせつ,shousetsu,novel,"[""novel"",""story""]","[""物語""]",noun,2,"[""art"",""literature""]"
