kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
磨きます,みがきます,migakimasu,"brush,polish","[""polish"",""brush one's teeth""]","[""polish"",""clean""]",Verb (Group I),3,"[""lesson34"",""verb""]"
組み立てます,くみたてます,kumitatemasu,assemble,"[""put together"",""construct""]","[""build"",""assemble""]",Verb (Group II),3,"[""lesson34"",""verb""]"
折ります,おります,orimasu,"bend, fold, break, snap","[""bend"",""break"",""snap""]","[""bend"",""fold""]",Verb (Group I),3,"[""lesson34"",""verb""]"
気がつきます,きがつきます,kigatsukimasu,"notice,become aware of ","[""become aware"",""realize""]","[""notice"",""recognize""]",Verb (Group I),4,"[""lesson34"",""verb""]"
[忘れ物に〜],[わすれものに〜],[wasuremono ni ~],notice forgotten things,"[""realize something forgotten"",""be aware of forgotten items""]","[""notice"",""remember""]",Expression,3,"[""lesson34""]"
つけます,つけます,tsukemasu,put,"[""dip"",""attach""]","[""apply"",""immerse""]",Verb (Group II),2,"[""lesson34"",""verb""]"
見つかります,みつかります,mitsukarimasu,be found,"[""turn up"",""be discovered""]","[""be located"",""be discovered""]",Verb (Group I),3,"[""lesson34"",""verb""]"
[かぎが〜],[かぎが〜],[kagi ga ~],key is found,"[""a key is discovered"",""the key turns up""]","[""be located"",""be found""]",Expression,2,"[""lesson34""]"
します,します,shimasu,"put on,wear","[""wear"",""tie""]","[""wear"",""fasten""]",Irregular Verb,2,"[""lesson34"",""verb""]"
質問します,しつもんします,shitsumon shimasu,ask a question,"[""inquire"",""question""]","[""ask"",""inquire""]",Suru verb,2,"[""lesson34"",""verb""]"
細い,ほそい,hosoi,thin,"[""slim"",""narrow""]","[""slender"",""narrow""]",I-adjective,2,"[""lesson34""]"
太い,ふとい,futoi,thick,"[""fat"",""wide""]","[""broad"",""thick""]",I-adjective,2,"[""lesson34""]"
盆踊り,ぼんおどり,bonodori,Bon Festival dance,"[""Bon dance"",""festival dance""]","[""traditional dance"",""Bon dance""]",Noun,3,"[""lesson34"",""culture""]"
スポーツクラブ,スポーツクラブ,supootsu kurabu,sports club,"[""fitness club"",""gym""]","[""gym"",""club""]",Noun,1,"[""lesson34"",""katakana""]"
家具,かぐ,kagu,furniture,"[""household furniture"",""furnishings""]","[""furnishings"",""fixtures""]",Noun,2,"[""lesson34""]"
キー,キー,kii,key,"[""keyboard key"",""important point""]","[""button"",""switch""]",Noun,1,"[""lesson34"",""katakana""]"
シートベルト,シートベルト,shiito beruto,seat belt,"[""safety belt"",""car belt""]","[""belt"",""safety strap""]",Noun,1,"[""lesson34"",""katakana""]"
説明書,せつめいしょ,setsumeisho,"explanatory pamphlet, instruction book","[""manual"",""guidebook""]","[""manual"",""pamphlet""]",Noun,3,"[""lesson34""]"
図,ず,zu,"figure,drawing","[""diagram"",""drawing""]","[""illustration"",""chart""]",Noun,2,"[""lesson34""]"
