kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
参ります,まいります,mairimasu,go/come,"[""go"",""come (humble)""]",[],verb_group_1,3,"[""humble""]"
おります,おります,orimasu,be,"[""be (humble)""]",[],verb_group_1,3,"[""humble""]"
いただきます,いただきます,itadakimasu,receive/eat,"[""eat"",""drink"",""receive (humble)""]",[],verb_group_1,3,"[""humble""]"
申します,もうします,moushimasu,say,"[""say (humble)""]",[],verb_group_1,3,"[""humble""]"
いたします,いたします,itashimasu,do,"[""do (humble)""]",[],verb_group_1,3,"[""humble""]"
拝見します,はいけんします,haiken shimasu,see,"[""see (humble)""]",[],suru_verb,3,"[""humble""]"
存じます,ぞんじます,zonjimasu,know,"[""know (humble)""]",[],verb_group_2,3,"[""humble""]"
伺います,うかがいます,ukagaimasu,ask/visit,"[""ask"",""hear"",""visit (humble)""]",[],verb_group_1,3,"[""humble""]"
お目にかかります,おめにかかります,o me ni kakarimasu,meet,"[""meet (humble)""]",[],verb_group_1,3,"[""humble""]"
ございます,ございます,gozaimasu,be,"[""be (polite)""]",[],verb_group_1,3,"[""polite""]"
～でございます,～でございます,~de gozaimasu,be,"[""be (polite form of です)""]",[],expression,3,"[""polite""]"
私,わたくし,watakushi,I,"[""I (humble)""]","[""わたし""]",pronoun,2,"[""self""]"
ガイド,ガイド,gaido,guide,"[""guide""]",[],noun,1,"[""job""]"
お宅,おたく,otaku,house,"[""someone else's house""]","[""家""]",noun,2,"[""place""]"
郊外,こうがい,kougai,suburbs,"[""suburbs""]",[],noun,2,"[""place""]"
アルバム,アルバム,arubamu,album,"[""album""]",[],noun,1,"[""object""]"
再来週,さらいしゅう,saraishuu,week after next,"[""the week after next""]",[],noun,1,"[""time""]"
再来月,さらいげつ,saraigetsu,month after next,"[""the month after next""]",[],noun,1,"[""time""]"
再来年,さらいねん,sarainen,year after next,"[""the year after next""]",[],noun,1,"[""time""]"
半年,はんとし,hantoshi,half year,"[""half a year""]",[],noun,1,"[""time""]"
最初に,さいしょに,saisho ni,first,"[""first of all""]",[],adverb,1,"[""order""]"
最後に,さいごに,saigo ni,lastly,"[""lastly"",""finally""]",[],adverb,1,"[""order""]"
ただ今,ただいま,tadaima,now,"[""now"",""just now""]",[],adverb,1,"[""time""]"
江戸東京博物館,えどとうきょうはくぶつかん,Edo Tokyo Hakubutsukan,Edo-Tokyo Museum,"[""Edo-Tokyo Museum""]",[],proper_noun,3,"[""place""]"
緊張します,きんちょうします,kinchou shimasu,be nervous,"[""become tense"",""be strained""]",[],suru_verb,2,"[""emotion""]"
放送します,ほうそうします,housou shimasu,broadcast,"[""broadcast""]",[],suru_verb,1,"[""media""]"
撮ります,とります,torimasu,record,"[""record"",""take (video/photo)""]","[""撮影する""]",verb_group_1,1,"[""action""]"
賞金,しょうきん,shoukin,prize money,"[""prize money""]",[],noun,1,"[""money""]"
自然,しぜん,shizen,nature,"[""nature""]",[],noun,1,"[""nature""]"
きりん,きりん,kirin,giraffe,"[""giraffe""]",[],noun,1,"[""animal""]"
象,ぞう,zou,elephant,"[""elephant""]",[],noun,1,"[""animal""]"
ころ,ころ,koro,time,"[""times"",""days"",""period""]",[],noun,1,"[""time""]"
かないます,かないます,kanaimasu,come true,"[""be realized (dream)""]","[""叶う""]",verb_group_1,2,"[""result""]"
一言よろしいでしょうか,ひとことよろしいでしょうか,hitokoto yoroshii deshou ka,may I say,"[""may I say one word?""]",[],expression,2,"[""polite""]"
協力します,きょうりょくします,kyouryoku shimasu,cooperate,"[""cooperate""]",[],suru_verb,1,"[""action""]"
心から,こころから,kokoro kara,from heart,"[""from my heart"",""sincerely""]",[],expression,1,"[""emotion""]"
感謝します,かんしゃします,kansha shimasu,thankful,"[""be grateful"",""be thankful""]",[],suru_verb,1,"[""emotion""]"
お礼,おれい,orei,thanks,"[""gratitude"",""thanks""]",[],noun,1,"[""emotion""]"
拝啓,はいけい,haikei,dear,"[""Dear ~ (letter opening)""]",[],expression,2,"[""letter""]"
美しい,うつくしい,utsukushii,beautiful,"[""beautiful""]","[""きれい""]",i_adjective,1,"[""description""]"
お元気でいらっしゃいますか,おげんきでいらっしゃいますか,ogenki de irasshaimasu ka,How are you doing?,"[""how are you? (respectful)""]",[],expression,3,"[""polite""]"
迷惑をかけます,めいわくをかけます,meiwaku o kakemasu,cause trouble,"[""trouble"",""annoy"",""inconvenience""]",[],verb_phrase,2,"[""action""]"
生かします,いかします,ikashimasu,make use of,"[""make good use of""]","[""活用する""]",verb_group_1,2,"[""action""]"
お城,おしろ,oshiro,castle,"[""castle""]",[],noun,1,"[""place""]"
敬具,けいぐ,keigu,sincerely,"[""Sincerely yours""]",[],expression,2,"[""letter""]"
ミュンヘン,ミュンヘン,myunhen,Munich,"[""Munich (Germany)""]",[],proper_noun,2,"[""place""]"
