kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
届きます,とどきます,todokimasu,be delivered,"[""be delivered"",""parcels be delivered""]","[""配送される""]",verb_group_1,2,"[""action"",""intransitive""]"
出ます,でます,demasu,participate,"[""participate"",""participate in the game"",""attend""]","[""出場する"",""参加する""]",verb_group_2,2,"[""action""]"
打ちます,うちます,uchimasu,type,"[""type"",""type on a word processor"",""strike""]","[""入力する"",""叩く""]",verb_group_1,2,"[""action""]"
貯金します,ちょきんします,chokinshimasu,save money,"[""save money""]","[""蓄える""]",verb_group_3,2,"[""money"",""action""]"
太ります,ふとります,futorimasu,get fat,"[""get fat""]","[""肥満する""]",verb_group_1,2,"[""body"",""description""]"
やせます,やせます,yasemasu,get slim,"[""get slim"",""lose weight""]","[""減量する""]",verb_group_2,2,"[""body"",""description""]"
過ぎます,すぎます,sugimasu,pass,"[""pass"",""pass 7 o'clock""]","[""経過する""]",verb_group_2,2,"[""time""]"
慣れます,なれます,naremasu,get accustomed to,"[""get accustomed to"",""get used to""]","[""順応する""]",verb_group_2,2,"[""abstract""]"
硬い、硬い、固体,かたい,katai,hard,"[""hard"",""tough"",""solid""]","[""頑丈""]",i_adjective,2,"[""description""]"
柔らかい,やわらかい,yawarakai,soft,"[""soft"",""tender""]","[""柔軟""]",i_adjective,2,"[""description""]"
電子～,でんし～,denshi~,electronic ~,"[""electronic""]","[""デジタル""]",prefix,2,"[""technology""]"
携帯～,けいたい～,keitai~,portable ~,"[""portable""]","[""モバイル""]",prefix,2,"[""technology""]"
工場,こうじょう,koujou,factory,"[""factory"",""plant""]","[""作業場""]",noun,1,"[""place"",""industry""]"
健康,けんこう,kenkou,health,"[""health""]","[""健全""]",noun,1,"[""body"",""abstract""]"
剣道,けんどう,kendou,kendo,"[""kendo"",""Japanese style fencing""]","[""武道""]",noun,2,"[""sports"",""culture""]"
毎週,まいしゅう,maishuu,every week,"[""every week""]","[""週毎""]",noun,1,"[""time""]"
毎月,まいつき,maitsuki,every month,"[""every month""]","[""月毎""]",noun,1,"[""time""]"
毎年,まいとし、まいねん,maitoshi,every year,"[""every year""]","[""年毎""]",noun,1,"[""time""]"
やっと,やっと,yatto,finally,"[""finally"",""at last""]","[""ようやく""]",adverb,2,"[""time""]"
かなり,かなり,kanari,fairly,"[""fairly"",""considerably""]","[""相当""]",adverb,2,"[""description""]"
必ず,かならず,kanarazu,without fail,"[""without fail"",""by any means""]","[""絶対""]",adverb,2,"[""description""]"
絶対に,ぜったいに,zettai ni,absolutely,"[""absolutely""]","[""必ず""]",adverb,2,"[""description""]"
上手に,じょうずに,jouzu ni,well,"[""well"",""skillfully""]","[""巧みに""]",adverb,1,"[""description""]"
できるだけ,できるだけ,dekiru dake,as much as possible,"[""as much as possible""]","[""なるべく""]",adverb,2,"[""description""]"
このごろ,このごろ,konogoro,these days,"[""these days""]","[""最近""]",noun,1,"[""time""]"
～ずつ,～ずつ,~zutsu,each,"[""at a time"",""each"",""per""]","[""宛て""]",suffix,2,"[""grammar"",""quantity""]"
そのほうが～,そのほうが～,sono hou ga~,That is more ~,"[""That is more ~"",""that way is more ~""]","[""それより""]",phrase,2,"[""expression""]"
お客様,おきゃくさま,okyakusama,customer,"[""customer"",""guest"",""visitor""]","[""客"",""来客""]",noun,1,"[""people"",""polite""]"
特別［な］,とくべつ,tokubetsu,special,"[""special""]","[""格別""]",na_adjective,1,"[""description""]"
していらっしゃいます,していらっしゃいます,shite irasshaimasu,be doing,"[""be doing \(respectful equivalent of しています\)""]","[""している""]",verb_group_3,3,"[""action"",""keigo""]"
水泳,すいえい,suiei,swimming,"[""swimming""]","[""泳ぎ""]",noun,1,"[""sports"",""hobby""]"
～とか、～とか,～とか、～とか,"~toka, ~toka","~, ~, and so on","[""~, ~, and so on"",""for example""]","[""～や、～など""]",particle,2,"[""grammar""]"
タンゴ,たんご,tango,tango,"[""tango""]","[""ダンス""]",noun,1,"[""art"",""hobby""]"
チャレンジします,ちゃれんじします,charenjishimasu,challenge,"[""challenge"",""try one's best""]","[""挑戦する""]",verb_group_3,1,"[""action""]"
気持ち,きもち,kimochi,feeling,"[""feeling"",""enthusiasm"",""mood""]","[""気分"",""心境""]",noun,1,"[""emotion"",""abstract""]"
乗り物,のりもの,norimono,vehicle,"[""vehicle"",""means of transportation""]","[""交通機関""]",noun,1,"[""transport""]"
歴史,れきし,rekishi,history,"[""history""]","[""史実""]",noun,2,"[""abstract"",""education""]"
世紀,せいき,seiki,century,"[""century"",""~th century""]","[""百年間""]",noun,2,"[""time""]"
遠く,とおく,tooku,far,"[""far"",""remote place""]","[""遠方""]",noun,2,"[""location""]"
汽車,きしゃ,kisha,locomotive,"[""locomotive"",""steam train""]","[""蒸気機関車""]",noun,2,"[""transport""]"
汽船,きせん,kisen,steam boat,"[""steam boat"",""steamer""]","[""蒸気船""]",noun,2,"[""transport""]"
大勢の～,おおぜいの～,oozei no~,many,"[""many (people\)"",""a lot of \(people\)""]","[""沢山の""]",pre-noun_adjective,1,"[""quantity"",""people""]"
運びます,はこびます,hakobimasu,carry,"[""carry"",""transport""]","[""搬送する""]",verb_group_1,2,"[""action"",""transitive""]"
飛びます,とびます,tobimasu,fly,"[""fly""]","[""飛翔する""]",verb_group_1,1,"[""movement""]"
安全［な］,あんぜん,anzen,safe,"[""safe"",""secure""]","[""無事""]",na_adjective,1,"[""description""]"
宇宙,うちゅう,uchuu,space,"[""space"",""universe""]","[""コスモ""]",noun,2,"[""nature"",""science""]"
地球,ちきゅう,chikyuu,earth,"[""earth"",""the globe""]","[""世界""]",noun,2,"[""nature"",""science""]"
