kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
逃げます,にげます,nigemasu,run away,"[""escape"",""flee""]","[""flee"",""escape""]",Verb (Group II),3,"[""lesson33"",""verb""]"
騒ぎます,さわぎます,sawagimasu,make a noise,"[""be noisy"",""make noise""]","[""shout"",""cause disturbance""]",Verb (Group I),3,"[""lesson33"",""verb""]"
諦めます,あきらめます,akiramemasu,give up,"[""abandon hope"",""quit""]","[""quit"",""surrender""]",Verb (Group II),3,"[""lesson33"",""verb""]"
投げます,なげます,nagemasu,throw,"[""toss"",""cast""]","[""hurl"",""toss""]",Verb (Group II),2,"[""lesson33"",""verb""]"
守ります,まもります,mamorimasu,"keep, follow, obey","[""protect"",""keep""]","[""follow"",""protect""]",Verb (Group I),3,"[""lesson33"",""verb""]"
上げます,あげます,agemasu,"raise, lift up","[""lift up"",""increase""]","[""elevate"",""lift""]",Verb (Group II),2,"[""lesson33"",""verb""]"
下げます,さげます,sagemasu,"lower, pull down","[""pull down"",""reduce""]","[""decrease"",""drop""]",Verb (Group II),2,"[""lesson33"",""verb""]"
伝えます,つたえます,tsutaemasu,convey,"[""tell"",""report""]","[""inform"",""communicate""]",Verb (Group II),3,"[""lesson33"",""verb""]"
注意します,ちゅういします,chuui shimasu,be careful,"[""warn"",""take care""]","[""caution"",""alert""]",Suru verb,3,"[""lesson33"",""verb""]"
外します,はずします,hazushimasu,be away,"[""leave one's seat"",""step away""]","[""absent oneself"",""leave""]",Verb (Group I),4,"[""lesson33"",""verb""]"
駄目,だめ,dame,"no good, not permitted, impossible","[""impossible"",""not permitted""]","[""useless"",""bad""]",Na-adjective/Noun,2,"[""lesson33""]"
席,せき,seki,seat,"[""chair"",""place""]","[""seating"",""spot""]",Noun,2,"[""lesson33""]"
ファイト,ファイト,faito,fight,"[""fighting spirit"",""cheer""]","[""spirit"",""encouragement""]",Noun,1,"[""lesson33"",""katakana""]"
マーク,マーク,maaku,mark,"[""symbol"",""sign""]","[""label"",""symbol""]",Noun,1,"[""lesson33"",""katakana""]"
ボール,ボール,booru,ball,"[""sphere"",""sports ball""]","[""orb"",""ball""]",Noun,1,"[""lesson33"",""katakana""]"
洗濯機,せんたくき,sentakuki,washing machine,"[""washer"",""laundry machine""]","[""washer"",""cleaning machine""]",Noun,3,"[""lesson33""]"
～機,～き,~ki,~machine,"[""device"",""equipment""]","[""apparatus"",""machine""]",Suffix,2,"[""lesson33""]"
規則,きそく,kisoku,regulation,"[""rule"",""law""]","[""rule"",""guideline""]",Noun,3,"[""lesson33""]"
使用禁止,しようきんし,shiyou kinshi,do not use,"[""prohibited to use"",""usage forbidden""]","[""forbidden"",""banned""]",Noun,4,"[""lesson33""]"
立入禁止,たちいりきんし,tachiiri kinshi,keep out,"[""no entry"",""entry prohibited""]","[""restricted area"",""do not enter""]",Noun,4,"[""lesson33""]"
入口,いりぐち,iriguchi,entrance,"[""entry"",""way in""]","[""gate"",""entrance""]",Noun,2,"[""lesson33""]"
出口,でぐち,deguchi,exit,"[""way out"",""outlet""]","[""exit"",""departure point""]",Noun,2,"[""lesson33""]"
非常口,ひじょうぐち,hijouguchi,emergency exit,"[""fire exit"",""escape exit""]","[""emergency door"",""escape route""]",Noun,4,"[""lesson33""]"
無料,むりょう,muryou,free of charge,"[""free"",""without charge""]","[""complimentary"",""gratis""]",Noun/Na-adjective,2,"[""lesson33""]"
本日休業,ほんじつきゅうぎょう,honjitsu kyuugyou,closed today,"[""not open today"",""holiday closure""]","[""closed"",""off today""]",Expression,4,"[""lesson33""]"
営業中,えいぎょうちゅう,eigyouchuu,open for business,"[""currently open"",""operating""]","[""open"",""running""]",Expression,3,"[""lesson33""]"
使用中,しようちゅう,shiyouchuu,in use,"[""occupied"",""currently using""]","[""busy"",""occupied""]",Expression,3,"[""lesson33""]"
～中,～ちゅう,~chuu,~ing,"[""during"",""in the middle of""]","[""while"",""ongoing""]",Suffix,2,"[""lesson33""]"
どういう～,どういう～,dou iu ~,what kind of ~,"[""what sort of ~"",""what type of ~""]","[""what kind"",""which type""]",Expression,2,"[""lesson33""]"
もう,もう,mou,any longer,"[""anymore"",""further""]","[""already"",""further""]",Adverb,1,"[""lesson33""]"
あと～,あと～,ato ~,~ left,"[""remaining"",""rest""]","[""remaining amount"",""balance""]",Expression,1,"[""lesson33""]"
駐車違反,ちゅうしゃいはん,chuusha ihan,parking violation,"[""illegal parking"",""parking offense""]","[""parking ticket"",""traffic violation""]",Noun,4,"[""lesson33""]"
そりゃあ,そりゃあ,soryaa,well,"[""naturally"",""of course""]","[""indeed"",""surely""]",Interjection,2,"[""lesson33""]"
～以内,～いない,~ inai,within ~,"[""inside limit"",""no more than""]","[""within"",""under""]",Suffix,2,"[""lesson33""]"
警察,けいさつ,keisatsu,police station,"[""police"",""law enforcement""]","[""cops"",""authorities""]",Noun,2,"[""lesson33""]"
罰金,ばっきん,bakkin,fine,"[""penalty"",""fee""]","[""penalty"",""charge""]",Noun,3,"[""lesson33""]"
電報,でんぽう,denpou,telegram,"[""telegraph message"",""wire""]","[""message"",""telegram""]",Noun,3,"[""lesson33""]"
人々,ひとびと,hitobito,people,"[""persons"",""humans""]","[""folks"",""citizens""]",Noun,2,"[""lesson33""]"
急用,きゅうよう,kyuuyou,urgent business,"[""urgent matter"",""emergency errand""]","[""important matter"",""emergency""]",Noun,3,"[""lesson33""]"
打ちます,うちます,uchimasu,send,"[""type"",""hit""]","[""dispatch"",""strike""]",Verb (Group I),3,"[""lesson33"",""verb""]"
電報代,でんぽうだい,denpoudai,telegram charge,"[""telegram fee"",""cost""]","[""fee"",""expense""]",Noun,4,"[""lesson33""]"
できるだけ,できるだけ,dekiru dake,as much as possible,"[""if possible"",""to the extent possible""]","[""as far as possible"",""best effort""]",Expression,2,"[""lesson33""]"
短く,みじかく,mijikaku,shortly,"[""briefly"",""concisely""]","[""in short"",""briefly""]",Adverb,2,"[""lesson33""]"
また,また,mata,and,"[""also"",""again""]","[""moreover"",""too""]",Conjunction,1,"[""lesson33""]"
例えば,たとえば,tatoeba,for example,"[""for instance"",""e.g.""]","[""example"",""such as""]",Expression,2,"[""lesson33""]"
危篤,きとく,kitoku,critical condition,"[""gravely ill"",""dying""]","[""critical state"",""serious condition""]",Noun,4,"[""lesson33""]"
重い病気,おもいびょうき,omoi byouki,serious illness,"[""severe disease"",""grave illness""]","[""major illness"",""serious disease""]",Expression,3,"[""lesson33""]"
明日,あした,ashita,tomorrow,"[""next day"",""following day""]","[""tomorrow"",""next day""]",Noun,1,"[""lesson33""]"
留守,るす,rusu,absence,"[""not at home"",""away""]","[""absence"",""away from home""]",Noun,2,"[""lesson33""]"
留守番,るすばん,rusuban,house-sitting,"[""looking after house"",""caretaker duty""]","[""babysitting house"",""caretaking""]",Noun,3,"[""lesson33""]"
お祝い,おいわい,oiwai,celebration,"[""congratulations"",""festivity""]","[""celebration"",""ceremony""]",Noun,2,"[""lesson33""]"
亡くなります,なくなります,nakunarimasu,pass away,"[""die"",""decease""]","[""pass on"",""expire""]",Verb (Group I),3,"[""lesson33"",""verb""]"
悲しみ,かなしみ,kanashimi,sorrow,"[""sadness"",""grief""]","[""mourning"",""sadness""]",Noun,2,"[""lesson33""]"
利用します,りようします,riyou shimasu,use,"[""utilize"",""employ""]","[""make use of"",""apply""]",Suru verb,2,"[""lesson33"",""verb""]"
