kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
数えます,かぞえます,kazoemasu,count,"[""calculate number""]","[""enumerate""]",verb (Group 2),2,"[""lesson40"",""numbers""]"
測ります,はかります,hakarimasu,"measure, weigh","[""take measurements""]","[""gauge""]",verb (Group 1),2,"[""lesson40"",""verbs""]"
確かめます,たしかめます,tashikamemasu,"confirm, make sure","[""verify""]","[""check""]",verb (Group 2),2,"[""lesson40"",""verbs""]"
合います,あいます,aimasu,fit,"[""size fits""]","[""match""]",verb (Group 1),2,"[""lesson40"",""clothes""]"
出発します,しゅっぱつします,shuppatsu shimasu,depart,"[""leave""]","[""set out""]",suru verb,2,"[""lesson40"",""travel""]"
到着します,とうちゃくします,touchaku shimasu,arrive,"[""reach destination""]","[""get to""]",suru verb,2,"[""lesson40"",""travel""]"
酔います,よいます,yoimasu,get drunk,"[""be intoxicated""]","[""become drunk""]",verb (Group 1),2,"[""lesson40"",""health""]"
危険[な],きけん[な],kiken [na],dangerous,"[""unsafe""]","[""risky""]",na-adjective,2,"[""lesson40"",""adjectives""]"
必要[な],ひつよう[な],hitsuyou [na],necessary,"[""essential""]","[""required""]",na-adjective,2,"[""lesson40"",""adjectives""]"
宇宙,うちゅう,uchuu,"space, universe","[""outer space""]","[""cosmos""]",noun,2,"[""lesson40"",""science""]"
地球,ちきゅう,chikyuu,earth,"[""planet Earth""]","[""globe""]",noun,1,"[""lesson40"",""nature""]"
忘年会,ぼうねんかい,bounenkai,year-end party,"[""end of year party""]","[""year-end gathering""]",noun,3,"[""lesson40"",""events""]"
新年会,しんねんかい,shinnenkai,New Year's party,"[""new year celebration""]","[""new year gathering""]",noun,3,"[""lesson40"",""events""]"
二次会,にじかい,nijikai,second party,"[""after-party""]","[""second gathering""]",noun,2,"[""lesson40"",""events""]"
大会,たいかい,taikai,"mass meeting, convention","[""tournament""]","[""competition""]",noun,2,"[""lesson40"",""events""]"
マラソン,まらそん,marason,marathon,"[""long-distance race""]","[""race""]",noun,1,"[""lesson40"",""sports""]"
コンテスト,こんてすと,kontesuto,contest,"[""competition""]","[""match""]",noun,1,"[""lesson40"",""events""]"
表,おもて,omote,"face, front","[""front side""]","[""surface""]",noun,2,"[""lesson40"",""location""]"
裏,うら,ura,back (side),"[""reverse side""]","[""rear""]",noun,2,"[""lesson40"",""location""]"
返事,へんじ,henji,reply,"[""response""]","[""answer""]",noun,1,"[""lesson40"",""communication""]"
申し込み,もうしこみ,moushikomi,application,"[""registration""]","[""entry""]",noun,2,"[""lesson40"",""office""]"
本当,ほんとう,hontou,"truth, fact","[""reality""]","[""truth""]",noun,1,"[""lesson40"",""general""]"
間違い,まちがい,machigai,mistake,"[""error""]","[""fault""]",noun,1,"[""lesson40"",""general""]"
傷,きず,kizu,"defect, wound, scratch","[""scar""]","[""damage""]",noun,2,"[""lesson40"",""health""]"
ズボン,ずぼん,zubon,trousers,"[""pants""]","[""slacks""]",noun,1,"[""lesson40"",""clothes""]"
長さ,ながさ,nagasa,length,"[""measurement of length""]","[""distance""]",noun,2,"[""lesson40"",""measurements""]"
重さ,おもさ,omosa,weight,"[""heaviness""]","[""mass""]",noun,2,"[""lesson40"",""measurements""]"
高さ,たかさ,takasa,height,"[""tallness""]","[""elevation""]",noun,2,"[""lesson40"",""measurements""]"
大きさ,おおきさ,ookisa,"size, scale","[""dimensions""]","[""magnitude""]",noun,2,"[""lesson40"",""measurements""]"
〜便,〜びん,~bin,"flight, flight number","[""service number""]","[""flight code""]",suffix,2,"[""lesson40"",""travel""]"
〜号,〜ごう,~gou,"train number, typhoon number, etc.","[""number suffix""]","[""designation""]",suffix,2,"[""lesson40"",""grammar""]"
一個,いっこ,ikko,counter for small objects,"[""one small object""]","[""piece""]",counter,1,"[""lesson40"",""counters""]"
一本,いっぽん,ippon,counter for long objects,"[""one long item""]","[""stick counter""]",counter,1,"[""lesson40"",""counters""]"
